url,analysis_timestamp,carsales_price_estimate,carsales_price_range,recommended_max_bid,expected_profit,profit_margin_percent,score_out_of_10,confidence_notes,resale_low,resale_mid,resale_high,net_profit_mid,net_profit_worst,fees_estimate,transport_estimate,rego_estimate,prep_estimate,confidence,risk_flags,verdict,computed_verdict,no_edge,edge_note,no_edge_at_current_bid,edge_buffer,analysis_context,is_top_buy,top_buy_badge,top_buy_failed_reasons,top_buy_passed_reasons,expected_auction_price,discount_used,current_bid,current_bid_numeric,bids_observed,time_remaining_observed,risk_score
https://www.grays.com/lot/0001-21057554/motor-vehicles-motor-cycles/2008-nissan-navara-st-x-4x4-double-cab-d40-turbo-diesel-automatic-dual-cab,2025-10-10T22:28:01.055664+00:00,$3500,$3000 - $4000,$1900,$1600,84%,8.5,"Historical auction data indicates a median price of $3509, suggesting a stable market for this model.; The vehicle's high odometer reading may affect resale value, but the diesel variant retains demand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057557/motor-vehicles-motor-cycles/2018-ford-ranger-xl-4x4-px-iii-turbo-diesel-automatic-dual-cab,2025-10-11T12:31:48.854163+00:00,$12650,$12000 - $13500,$11150,$1500,13%,6.5,"Historical median price indicates stable demand for this model.; Current bid is at the historical minimum, suggesting potential undervaluation.; Market risks include potential fluctuations in demand for used vehicles and economic conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057591/motor-vehicles-motor-cycles/2007-mercedes-benz-m-class-w164-automatic-wagon,2025-10-11T12:33:16.421296+00:00,$2500,$2000 - $3000,$1000,$1500,150%,8.0,"Historical median price suggests a stable resale value.; Current bid is significantly below historical averages, indicating potential for profit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057606/motor-vehicles-motor-cycles/2006-hyundai-accent-mc-manual-hatchback,2025-10-11T12:33:52.994531+00:00,$1000,$800 - $1200,$400,$600,150%,8.0,"Historical auction data indicates stable pricing around $1000.; Current bid is significantly lower than historical values, suggesting potential undervaluation.; The vehicle's age and mileage may limit resale appeal, but the low entry cost enhances profit potential.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057608/motor-vehicles-motor-cycles/2012-mitsubishi-outlander-ls-4wd-zj-turbo-diesel-automatic-7-seats-wagon,2025-10-11T12:34:15.698525+00:00,$3500,$3200 - $3800,$1800,$1700,94%,8.5,"The historical mean and median prices indicate a stable resale value.; The vehicle's high odometer reading may limit buyer interest, but the 7-seat capacity is a selling point.; Current bid is below historical values, suggesting potential for profit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057592/motor-vehicles-motor-cycles/2012-hyundai-ix35-active-fwd-lm-manual-wagon,2025-10-11T12:45:49.877641+00:00,$4500,$4000 - $5000,$2500,$2000,44%,8.0,The historical median price suggests a stable market for this model.; The vehicle's age and mileage may limit resale potential but still offers a reasonable profit margin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057594/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-limited-wk-automatic-8-speed-wagon,2025-10-11T12:46:42.264922+00:00,$8500,$8000 - $9000,$7000,$1500,21%,6.5,"The historical median and mean suggest a stable market value around $8,500.; The vehicle's age and mileage may limit resale potential, but current auction bid indicates interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-21057593/motor-vehicles-motor-cycles/2013-toyota-camry-altise-asv50r-automatic-sedan,2025-10-14T03:41:15.715084+00:00,"$4,121","$3,000 - $6,097","$2,500","$1,621",39.3%,6.5,"The current bid is significantly lower than historical auction values, indicating potential undervaluation.; High odometer reading may deter some buyers, impacting resale value.; Market demand for reliable used vehicles like the Camry remains strong, but economic factors could affect buyer sentiment.; Adjusted Carsales average for odometer difference (factor 0.28).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-10350983/motor-vehicles-motor-cycles/2017-holden-colorado-4x4-lx-rg-turbo-diesel-automatic-cab-chassis,2025-10-15T20:26:03.150495+00:00,"$31,889","$13,200 - $64,200","$12,000","$19,889",62.4%,6.5,"Current bid is significantly below historical auction data, indicating potential undervaluation.; Comparable vehicles on Carsales show higher pricing, but condition and market demand can vary.; The vehicle's odometer reading is relatively low for its age, which could positively influence resale value.; Adjusted Carsales average for odometer difference (factor 1.20).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grays.com/lot/0001-50517083/motor-vehicles-motor-cycles/2015-subaru-forester-2-0xt-premium-s4-cvt-wagon,2025-10-15T20:35:20.423878+00:00,"$11,095","$7,425 - $13,750","$8,938","$2,157",19.4%,6.5,"The vehicle has high mileage, which may deter some buyers.; Comparable models on Carsales show a significant price range, indicating variability in buyer demand.; Adjusted Carsales average for odometer difference (factor 0.69).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
