snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-05-02T03:39:09.763344+00:00,https://www.grays.com/lot/0001-10353345/motor-vehicles-motor-cycles/2020-toyota-hilux-4x4-sr-gun126r-turbo-diesel-automatic-crew-cab-chassis,15100.0,15100.0,26,3d 6h 20m52s,78.348,Active,nsw,NSW,lot
2026-05-02T03:39:26.016581+00:00,https://www.grays.com/lot/0001-10353402/motor-vehicles-motor-cycles/2006-toyota-corolla-ascent-zze122r-manual-sedan,9.0,9.0,1,3d 6h 20m37s,78.344,Active,nsw,NSW,lot
2026-05-02T03:39:45.290045+00:00,https://www.grays.com/lot/0001-10353412/motor-vehicles-motor-cycles/2023-ford-puma-st-line-automatic-wagon,15101.0,15101.0,159,1d 6h 20m17s,30.338,Active,nsw,NSW,lot
2026-05-02T03:40:21.935534+00:00,https://www.grays.com/lot/0001-10353445/motor-vehicles-motor-cycles/2013-toyota-hilux-4x4-sr5-kun26r-turbo-diesel-manual-dual-cab,12200.0,12200.0,54,1d 6h 19m40s,30.328,Active,nsw,NSW,lot
2026-05-02T03:40:57.040724+00:00,https://www.grays.com/lot/0001-10353446/motor-vehicles-motor-cycles/2007-toyota-camry-ateva-acv40r-automatic-sedan,309.0,309.0,4,1d 6h 19m4s,30.318,Active,nsw,NSW,lot
2026-05-02T03:41:29.229049+00:00,https://www.grays.com/lot/0001-10353447/motor-vehicles-motor-cycles/2011-jeep-patriot-sport-mk-cvt-wagon,9.0,9.0,0,1d 6h 18m33s,30.309,Active,nsw,NSW,lot
2026-05-02T03:41:44.624046+00:00,https://www.grays.com/lot/0001-10353468/motor-vehicles-motor-cycles/2018-land-rover-discovery-sd4-se-series-5-turbo-diesel-automatic,10200.0,10200.0,10,1d 6h 18m17s,30.305,Active,nsw,NSW,lot
2026-05-02T03:42:00.312675+00:00,https://www.grays.com/lot/0001-10353469/motor-vehicles-motor-cycles/2002-mitsubishi-airtrek-turbo-cu2w-automatic-wagon-import,1309.0,1309.0,13,1d 6h 18m2s,30.301,Active,nsw,NSW,lot
2026-05-02T03:42:28.506335+00:00,https://www.grays.com/lot/0001-10353471/motor-vehicles-motor-cycles/2011-jeep-grand-cherokee-limited-wk-automatic-wagon,9.0,9.0,0,1d 6h 17m34s,30.293,Active,nsw,NSW,lot
2026-05-02T03:42:58.266617+00:00,https://www.grays.com/lot/0001-10353472/motor-vehicles-motor-cycles/2009-toyota-landcruiser-gxl-vdj200r-turbo-diesel-automatic-8-seats-wagon,15400.0,15400.0,103,1d 6h 17m5s,30.285,Active,nsw,NSW,lot
