decision,reason,url,year,make,model,variant,price,bids,live_date_sold,preview_date_sold,historical_date_sold
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063937/motor-vehicles-motor-cycles/2021-bmw-x3-xdrive30i-g01-lci-automatic-8-speed-wagon-wovr-repairable,2021,BMW,X3,xdrive30i g01 lci - (wovr-repairable),25300,159,2026-12-03,2026-03-12,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-9067361/motor-vehicles-motor-cycles/2008-bmw-x6-xdrive-35i-e71-automatic-coupe-wovr-inspected,2008,BMW,X6,xdrive 35i e71 (wovr-inspected),5100,35,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-9067388/motor-vehicles-motor-cycles/2006-ford-falcon-xr6t-bf-automatic-sedan-wovr-inspected,2006,FORD,Falcon,xr6t bf (wovr-inspected),7500,109,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063891/motor-vehicles-motor-cycles/2016-ford-ranger-xls-4x4-px-ii-automatic-dual-cab-wovr-repairable,2016,FORD,Ranger,xls 4x4 px ii dual cab (wovr - repairable),11800,93,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-50714855/motor-vehicles-motor-cycles/2019-holden-acadia-ltz-2wd-automatic-7-seats-wagon-wovr-repairable,2019,HOLDEN,Acadia,ltz 2wd (wovr - repairable),809,11,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-9067435/motor-vehicles-motor-cycles/2009-holden-barina-tk-automatic-sedan-wovr-repairable,2009,HOLDEN,Barina,tk (wovr - repairable),509,11,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063951/motor-vehicles-motor-cycles/2006-holden-rodeo-lx-td-crew-cab-ra-t-d-auto-dual-cab-wovr-repairable,2006,HOLDEN,Rodeo,lx td crew cab ra t d dual cab (wovr-repairable),2100,31,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-9067344/motor-vehicles-motor-cycles/1997-honda-accord-vti-6th-gen-automatic-sedan-wovr-inspected,1997,HONDA,Accord,vti 6th gen (wovr-inspected),809,13,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-9067451/motor-vehicles-motor-cycles/2004-hsv-clubsport-vy-automatic-sedan-wovr-statutory,2004,HSV,Clubsport,vy (wovr - statutory),15100,119,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063777/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,2014,HYUNDAI,I30,active gd,2909,37,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063958/motor-vehicles-motor-cycles/2018-hyundai-i30-active-pd-automatic-hatchback-wovr-repairable,2018,HYUNDAI,I30,active pd (wovr-repairable),8600,81,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-50714860/motor-vehicles-motor-cycles/2012-hyundai-iload-tq-turbo-diesel-automatic-van,2012,HYUNDAI,Iload,tq van,1609,17,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-50714821/motor-vehicles-motor-cycles/2012-land-rover-freelander-2-se-td4-turbo-diesel-automatic-wagon,2012,LAND,Rover,freelander 2 se td4,2150,25,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063851/motor-vehicles-motor-cycles/2015-mercedes-benz-e-class-e250-w212-automatic-sedan,2015,MERCEDES,Benz,e-class e250 w212,11900,124,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-10352945/motor-vehicles-motor-cycles/2017-mercedes-benz-a-class-a180-w176-automatic-hatchback-wovr-inspected,2017,MERCEDES,Benz,a-class a180 w176 (wovr - inspected),6509,89,2026-11-03,2026-03-11,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063846/motor-vehicles-motor-cycles/2022-mg-mg3-excite-automatic-hatchback-wovr-repairable,2022,MG,Mg3,excite (wovr-repairable),6200,87,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-50714827/motor-vehicles-motor-cycles/2013-mitsubishi-delica-d-5-automatic-4wd-people-mover-import,2013,MITSUBISHI,Delica,d:5 4wd import,11600,186,2026-10-03,2026-03-10,
merge_date_from_preview,Live date is after 2026-06-01; preview date is plausible and keeps price and bids unchanged.,https://www.grays.com/lot/0001-21063934/motor-vehicles-motor-cycles/2004-subaru-impreza-rv-g2-manual-hatchback,2004,SUBARU,Impreza,rv g2,709,9,2026-11-03,2026-03-11,
