source_pos,source_from_end,chunk_from_end,url,year,make,model,variant,old_price,new_price,price_delta,old_date_sold,new_date_sold,old_bids,new_bids
17099,4,0,https://www.grays.com/lot/0001-9068437/motor-vehicles-motor-cycles/2014-ford-ranger-xlt-4x4-px-turbo-diesel-automatic-dual-cab,2014,FORD,Ranger,xlt 4x4 px,5600,"$12,600",7000,2026-05-05,05 May 2026,80,182
17098,5,0,https://www.grays.com/lot/0001-9068436/motor-vehicles-motor-cycles/2010-mazda-2-neo-de-automatic-hatchback,2010,MAZDA,2,neo de,909,"$2,209",1300,2026-05-05,05 May 2026,11,31
16358,745,700,https://www.grays.com/lot/0001-21063204/motor-vehicles-motor-cycles/2000-mercedes-benz-clk-320-320-avantgarde-c208-automatic-coupe,2000,mercedes,benz,clk 320 avantgarde c208,109,$509,400,2026-02-19,23 February 2026,2,6
16206,897,800,https://www.grays.com/lot/0001-9067026/motor-vehicles-motor-cycles/2011-ford-territory-ts-sz-turbo-diesel-automatic-wagon,2011,ford,territory,ts sz,2009,"$4,101",2092,2026-02-12,17 February 2026,39,75
16205,898,800,https://www.grays.com/lot/0001-9067015/motor-vehicles-motor-cycles/2007-holden-rodeo-lx-4x4-td-ra-turbo-diesel-manual-dual-cab,2007,holden,rodeo,lx 4x4 td ra,9,"$3,400",3391,2026-02-12,17 February 2026,0,44
16204,899,800,https://www.grays.com/lot/0001-9067012/motor-vehicles-motor-cycles/2012-holden-commodore-sv6-ve-automatic-sedan,2012,holden,commodore,sv6 ve,9,"$2,800",2791,2026-02-12,17 February 2026,1,40
16203,900,900,https://www.grays.com/lot/0001-9067002/motor-vehicles-motor-cycles/2013-holden-cruze-sri-jh-automatic-hatchback,2013,holden,cruze,sri jh,9,$656,647,2026-02-12,17 February 2026,0,9
16202,901,900,https://www.grays.com/lot/0001-9066997/motor-vehicles-motor-cycles/2011-audi-a4-2-0-tdi-b8-turbo-diesel-cvt-sedan,2011,audi,a4,2.0 tdi b8,9,"$2,200",2191,2026-02-12,17 February 2026,1,22
16201,902,900,https://www.grays.com/lot/0001-9066996/motor-vehicles-motor-cycles/2010-kia-rio-si-jb-manual-hatchback,2010,kia,rio,si jb,9,"$1,000",991,2026-02-12,17 February 2026,0,13
16200,903,900,https://www.grays.com/lot/0001-9066995/motor-vehicles-motor-cycles/2007-holden-rodeo-dx-4x2-2-4-ra-manual-cab-chassis,2007,holden,rodeo,dx 4x2 2.4 ra,9,$809,800,2026-02-12,17 February 2026,0,9
16199,904,900,https://www.grays.com/lot/0001-9066991/motor-vehicles-motor-cycles/2006-ford-falcon-xr6-bf-ii-automatic-sedan,2006,ford,falcon,xr6 bf ii,9,$900,891,2026-02-12,17 February 2026,1,9
16198,905,900,https://www.grays.com/lot/0001-9066984/motor-vehicles-motor-cycles/2009-holden-commodore-sv6-ve-automatic-sedan,2009,holden,commodore,sv6 ve,9,$800,791,2026-02-12,17 February 2026,1,8
16197,906,900,https://www.grays.com/lot/0001-9066983/motor-vehicles-motor-cycles/2010-jeep-patriot-sport-mk-cvt-wagon,2010,jeep,patriot,sport mk,9,$709,700,2026-02-12,17 February 2026,0,5
16196,907,900,https://www.grays.com/lot/0001-9066982/motor-vehicles-motor-cycles/2013-holden-sportwagon-sv6-vf-automatic-wagon,2013,holden,sportwagon,sv6 vf,9,"$4,900",4891,2026-02-12,17 February 2026,0,45
16195,908,900,https://www.grays.com/lot/0001-9066981/motor-vehicles-motor-cycles/2010-holden-cruze-cd-jg-automatic-sedan,2010,holden,cruze,cd jg,9,$765,756,2026-02-12,17 February 2026,0,8
16194,909,900,https://www.grays.com/lot/0001-9066979/motor-vehicles-motor-cycles/2011-nissan-dualis-ti-j10-cvt-wagon,2011,nissan,dualis,ti j10,9,"$3,109",3100,2026-02-12,17 February 2026,0,41
16193,910,900,https://www.grays.com/lot/0001-9066978/motor-vehicles-motor-cycles/2008-nissan-dualis-ti-j10-cvt-wagon,2008,nissan,dualis,ti j10,9,$600,591,2026-02-12,17 February 2026,0,5
16192,911,900,https://www.grays.com/lot/0001-9066973/motor-vehicles-motor-cycles/2003-nissan-navara-st-r-4x4-double-cab-d22-turbo-diesel-manual-dual-cab,2003,nissan,navara,st-r 4x4 double cab d22,9,"$1,109",1100,2026-02-12,17 February 2026,0,11
16191,912,900,https://www.grays.com/lot/0001-9066972/motor-vehicles-motor-cycles/2011-toyota-landcruiser-prado-gxl-kdj150r-turbo-diesel-auto7-seats-wagon,2011,toyota,landcruiser,prado gxl kdj150r auto7 seats,9,"$14,500",14491,2026-02-12,17 February 2026,0,132
16190,913,900,https://www.grays.com/lot/0001-9066971/motor-vehicles-motor-cycles/2003-holden-ute-vy-manual-ute,2003,holden,ute,vy,9,"$2,400",2391,2026-02-12,17 February 2026,0,34
16189,914,900,https://www.grays.com/lot/0001-9066970/motor-vehicles-motor-cycles/2010-ford-falcon-fg-automatic-ute,2010,ford,falcon,fg,9,"$1,100",1091,2026-02-12,17 February 2026,0,11
16188,915,900,https://www.grays.com/lot/0001-9066967/motor-vehicles-motor-cycles/2012-subaru-liberty-2-5i-premium-b5-cvt-wagon,2012,subaru,liberty,2.5i premium b5,9,"$2,600",2591,2026-02-12,17 February 2026,1,7
16187,916,900,https://www.grays.com/lot/0001-9066966/motor-vehicles-motor-cycles/2008-toyota-crown-athlete-grs204-import-auto-sedan,2008,toyota,crown,athlete grs204 import,109,"$12,900",12791,2026-02-12,17 February 2026,2,175
16186,917,900,https://www.grays.com/lot/0001-9066965/motor-vehicles-motor-cycles/2010-nissan-x-trail-tl-t31-turbo-diesel-manual-wagon,2010,nissan,x-trail,tl t31,9,"$6,009",6000,2026-02-12,17 February 2026,1,80
