canonical_defect,category,vehicle_class,pricing_method,default_estimate,low_estimate,high_estimate,confidence,evidence_source,evidence_date,supplier,vehicle_specific,labour_required,notes
fuel_flap_damage,replacement,small_hatch,parts_plus_labour,57,48,68,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Fuel-flap panel, cable or release part range $10-$30 plus remove/refit labour. This does not cover filler-neck or central-locking diagnosis. Labour allowance: 0.75 h at $50/h = $38; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
door_handle_damage,replacement,small_hatch,parts_plus_labour,75,70,80,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Inner/outer door-handle part range $20-$30 plus remove/refit labour. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
mirror_light_damage,replacement,small_hatch,parts_plus_labour,69,60,78,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car manual/electric door-mirror part range $30-$48 plus remove/refit labour. Indicator, paint and electrical diagnosis are excluded. Labour allowance: 0.6 h at $50/h = $30; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
lighting_damage,replacement,small_hatch,parts_plus_labour,105,90,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car head/tail-light assembly part range $40-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
bumper_damage,replacement,small_hatch,parts_plus_labour,170,145,197,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car bumper/fascia part range $80-$132 plus remove/refit labour. Paint, clips, sensors and calibration are excluded. Labour allowance: 1.3 h at $50/h = $65; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
control_damage,interior,small_hatch,repair_quote,900,600,1200,high,Gmail quote reply thread 19f5a9bc2c323879 / message 19f5ee7635c78702,2026-07-14,Tower Audio,yes,yes,"Direct supplier quote for 2016 Corolla factory navigation/control repair: navigation screen repair could be $600-$1,200 depending on the problem. Default uses midpoint; call supplier for exact fault split. Excludes major full-system upgrades."
windscreen_damage,glass,generic,repair_quote,500,300,1000,medium,AutoGuru Toyota Corolla windscreen replacement cost https://www.autoguru.com.au/windscreens/windscreen-replacement-cost/toyota/corolla,2026-06-27,AutoGuru,yes,yes,Toyota Corolla windscreen replacement public range $300-$1000; default set to conservative non-ADAS small-hatch midpoint pending supplier replies.
windscreen_damage,glass,small_hatch,repair_quote,339,339,339,high,Gmail thread 19fe4304985d08b2 / message 19fe4567f6e3e987,2026-08-09,Windscreen Medics,yes,yes,Direct supplier quote for 2016 Toyota Corolla hatch like-for-like standard non-ADAS front windscreen replacement: brand new windscreen supplied and fitted onsite with new mouldings for $339. Includes lifetime warranty on leaks and defects; excludes ADAS/special glass variation.
window_damage,glass,generic,repair_quote,350,150,500,medium,AutoGuru side window replacement https://www.autoguru.com.au/windscreens/side-window-replacement; Windscreen Medics side/rear window replacement https://www.windscreenmedics.com.au/side-and-rear-window-replacement,2026-06-27,AutoGuru / Windscreen Medics,yes,yes,Side window replacement public ranges: from $150 and average $250-$500 depending on window style and replacement work.
battery_issue,replacement,generic,parts_supplier_price,250,150,400,medium,AutoGuru battery replacement https://www.autoguru.com.au/repairs/battery-replacement; Car One battery pricing guide https://car-one.com.au/blog/car-battery-replacement-pricing-guide/,2026-06-27,AutoGuru / Car One,yes,yes,Fitted battery public baseline. AutoGuru starts around $200; Car One guide gives $150-$400 depending on battery type with labour component.
tyre_replacement,replacement,generic,parts_supplier_price,180,80,800,low,AutoGuru tyre replacement costs https://www.autoguru.com.au/repairs/tyre-replacement-costs; JAX tyre pricing information https://www.jaxtyres.com.au/knowledge/tyres/tyre-pricing-information,2026-06-27,AutoGuru / JAX Tyres,yes,yes,Per-tyre public range. AutoGuru gives $80-$800+ depending on size/brand; JAX notes online tyre prices include fitting/balancing/valve/waste/GST.
key_missing,replacement,generic,repair_quote,275,275,275,medium,Gmail quote reply thread 19f5dc7347851e4a / message 19f5e47111732c49,2026-07-14,Smart Keys,yes,yes,"Direct supplier quote for 2016 Corolla smart key replacement: $275 inc GST to supply, cut, and program a new smart key, requiring vehicle and existing key at workshop; about 60 minutes once started. Confidence medium because this does not price an all-keys-lost scenario."
interior_trim_damage,interior,small_hatch,repair_quote,250,150,500,medium,AutoGuru roof lining repair https://www.autoguru.com.au/repairs/roof-lining-repair; Airtasker VIC roof lining repair https://www.airtasker.com/au/services/car-roof-lining-repair/vic/,2026-06-27,AutoGuru / Airtasker,no,yes,Roof lining/interior trim baseline. AutoGuru says around $150-$500; Airtasker VIC observed average around $220-$342. Supplier quote still preferred for exact trim type.
seat_issue,interior,small_hatch,repair_quote,250,50,500,low,ServiceTasker upholstery repair cost https://servicetasker.com.au/cost-guides/how-much-does-upholstery-repair-cost; Ai AutoWorks interior repair cost guide https://www.aiautoworks.com/blog/auto-interior/car-interior-repair-cost-guide/,2026-06-27,ServiceTasker / Ai AutoWorks,no,yes,General upholstery baseline for seat wear/tear. Replace with supplier quote when available.
