year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2018,TOYOTA,Camry,ascent asv70r,Sedan,Automatic,Petrol,71390,5.0,JTNBF3HK003012044,No plates,Unregistered,4.0,2.5,Silver,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352641/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-asv70r-automatic-sedan,"hail damage visible.gear knob brokeninterior: steering wheel worn exterior: areas of poor quality paint and panel repairs.engine rattle on cold start up
hail damage visible.
gear knob broken
interior: steering wheel worn exterior: areas of poor quality paint and panel repairs.
engine rattle on cold start up",6.0,755.0,1d 23h 12m58s
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,180943,5.0,JTNBU52E702012858,BVA28R,24-01-2026,4.0,1.8,Red,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352764/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"paint peeling bonnet, roof, bootlid
large scratch on passenger side rear door and quarter panel
large dent on drivers door
paint cracked rear bumper bar",14.0,2109.0,1d 23h 6m49s
2018,TOYOTA,Corolla,ascent zre172r,Sedan,CVT,Petrol,150091,5.0,MR053REH205316681,nan,Unregistered,4,1.8,White,Black,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50714601/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-zre172r-cvt-sedan,"dents or marks on body consistent with age and kilometres.
hail damage visible.",,,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,193566,5.0,JTNBU52EX02014054,No plates,Unregistered,4,1.8,Grey,Multi,Yes,No,No,No,No,sa,https://www.grays.com/lot/0001-60048798/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,please refer to the photos or arrange inspection to view the condition of this vehicle.,15.0,1500.0,
2014,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,193733,5.0,JTNKU3JE20J083803,1GM5XW,15-07-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21045293/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"paint cracked rear bar
dents or marks on body consistent with age and kilometres.
controls broken heater and air conditioning / blower fan",119.0,8600.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,129182,5.0,JTNBU52E10J007807,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347641/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"body/panel damage bonnet, roof, driver side front guard, bootlid, rear doors and quarter panels
front and rear cracked bumper.
damaged tail lights
door mirror broken passenger side
large dent on driver side sill panel
hail damage visible.",32.0,3150.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,271748,5.0,JTNBU52E80J002376,No plates,Unregistered,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347869/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling roof, bonnet, bootlid, front guards, front bumper bar
large scratch on passenger side rear door
engine light on",19.0,1509.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,110904,5.0,JTNBU52E80J019114,AW52VG,Unregistered,4,1.8,Light Blue,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10910646/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"large dent on left front guard, sill &amp; door.
medium dent on roof
dents or marks on body consistent with age and kilometres.",18.0,2700.0,
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,278585,5.0,JTNBU56E50J102672,1GX6SS,15-04-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046389/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large dent on on the front bumper
seat torn front passenger seat
hail damage visible.",57.0,4809.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,252982,5.0,JTNBU52E102015433,UYY570,24-08-2025,4,1.8,Grey,Black,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21053707/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"medium scratch on various panels
paint fading and peeling various panels
dents or marks on body consistent with age and kilometres.
medium dent on various panels",62.0,4100.0,
2016,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,187225,5.0,MR053REH205290475,No plates,Unregistered,4.0,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046806/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-zre172r-cvt-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large scratch on panel
medium scuff on panel",131.0,10009.0,
2018,TOYOTA,Corolla,ascent zre172r,Sedan,CVT,Petrol,129601,5.0,MR053REH205308349,1MN9GB,30-06-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046822/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-zre172r-cvt-sedan-ex-gov,"dents or marks on body consistent with age and kilometres.
medium dent on rear bumper",136.0,14300.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,330010,5.0,JTNBU52EX0J005358,1DFG316,31-08-2025,4,1.8,Grey,Grey,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9058748/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint fading bonnet
medium scuff on various panels
front (disjointed) cracked bumper.
medium scratch on boot",44.0,2809.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,330010,5.0,JTNBU52EX0J005358,1DFG316,31-08-2025,4,1.8,Grey,Grey,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9059033/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint fading bonnet
medium scuff on various panels
front (disjointed) cracked bumper.
medium scratch on boot",25.0,3000.0,
2018,TOYOTA,Camry,ascent hybrid axvh71r,Sedan,CVT,Hybrid,132821,5.0,JTNB23HK403019347,1TD1ZX,Unregistered,4.0,2.5,White,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048482/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-hybrid-axvh71r-cvt-sedan,"medium scratch on front bar
dents or marks on body consistent with age and kilometres.",59.0,19300.0,
2011,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,423319,5.0,JTNBU56E10J063501,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515167/motor-vehicles-motor-cycles/2011-toyota-corolla-ascent-zre152r-automatic-sedan,"seat torn passenger seat
back seat stains.
dents or marks on body consistent with age and kilometres.
medium scratch on rh front bumper",14.0,2300.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,305411,5.0,JTNBU56E10J102846,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515201/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling doors",26.0,3900.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,362639,5.0,JTNBU56E10J103933,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515170/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling over vehicle",22.0,3200.0,
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,432145,5.0,JTNBU56E60J081797,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515169/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"back seat stains.
dents or marks on body consistent with age and kilometres.
paint fading multiple panels",10.0,2200.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,132933,5.0,JTNBU52E10J005538,No plates,Unregistered,4,1.8,White,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21049025/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,medium scratch on various parts on panels,94.0,6600.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,279939,5.0,JTNBU52E40J021135,BH15UQ,Unregistered,4,1.8,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10348700/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling and cracked numerous panels
engine idling rough",20.0,1850.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,351093,5.0,JTNBU56E10J104810,No plates,Unregistered,4,1.8,Silver,Black,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515259/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling over vehicle",62.0,4412.0,
2008,TOYOTA,Corolla,conquest zre152r,Sedan,Automatic,Petrol,246815,5.0,JTNBU56E60J005786,2AF6IP,15-05-2025,4,1.8,Silver,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21049064/motor-vehicles-motor-cycles/2008-toyota-corolla-conquest-zre152r-automatic-sedan,"front bumper cracked bumper.
dents or marks on body consistent with age and kilometres.
damaged rear driver side
damaged driver side front
airbag light on",53.0,3509.0,
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,355398,5.0,JTNBU56E90J101279,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515261/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"marks in boot
medium scuff on lh rear bumper
paint peeling multiple panels
dents or marks on body consistent with age and kilometres.
medium scratch on rh front bumper",26.0,2309.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,338313,5.0,JTNBU56E20J104430,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515262/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium scuff on lh rear bumper",38.0,3509.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,355273,5.0,JTNBU56E40J104672,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515257/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,dents or marks on body consistent with age and kilometres.,32.0,2909.0,
2015,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,346834,5.0,MR053REH205277493,No plates,Unregistered,4,1.8,Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21053852/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on various parts on panels
front cracked bumper.
paint fading hood
medium scratch on various parts on panels",92.0,6700.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,130793,5.0,JTNBU52E002019523,BDS71E,Unregistered,4,1.8,Grey,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10349201/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,please refer to the photos or arrange inspection to view the condition of this vehicle.,72.0,4300.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,175134,5.0,JTNBU52E10J026163,XVJ923,05-08-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048138/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,dents or marks on body consistent with age and kilometres.,85.0,6200.0,
2007,TOYOTA,Corolla,conquest zre152r,Sedan,Automatic,Petrol,348568,5.0,JTNBU56E302014178,YNL462,26-05-2025,4,1.8,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21052431/motor-vehicles-motor-cycles/2007-toyota-corolla-conquest-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on front passenger door
front bumper cracked bumper.
paint fading bonnet and roof
abs light on",30.0,2809.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,241799,5.0,JTNBU56EX02020043,WEV148,16-10-2025,4,1.8,Blue,Black,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21052468/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,dents or marks on body consistent with age and kilometres.,40.0,3609.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,288651,5.0,JTNBU52E802010584,UVO723,03-08-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052702/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres..
medium scratch on body
engine light on.",20.0,1909.0,
2018,TOYOTA,Corolla,ascent sport hybrid zwe211r,Hatchback,CVT,Hybrid,67131,5.0,JTNK93BE803001741,1OH7WH,30-06-2026,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052723/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-hybrid-zwe211r-cvt-ex-gov,"dents or marks on body consistent with age and kilometres.
medium scuff on lhs front bumper
paint peeling rhs rear door",111.0,18200.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,159381,5.0,JTNBU52E902007533,No plates,Unregistered,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052799/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium scratch on back left panel near fuel cap",56.0,5500.0,
2017,TOYOTA,Corolla,ascent sport zre182r,Hatchback,Automatic,Petrol,122660,5.0,JTNKU3JE60J573922,1OD2KW,21-04-2026,4.0,1.8,Yellow,Black,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21052903/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
both front and rear cracked bumper.
medium scratch on various parts on panels",192.0,12700.0,
2013,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,213784,5.0,JTNKU3JE60J041425,1EI3WG,30-11-2025,4,1.8,Red,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053401/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,"medium scratch on rear bumper
dents or marks on body consistent with age and kilometres.",110.0,7309.0,
2007,TOYOTA,Corolla,conquest zre152r,Sedan,Automatic,Petrol,348568,5.0,JTNBU56E302014178,YNL462,26-05-2025,4,1.8,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21053414/motor-vehicles-motor-cycles/2007-toyota-corolla-conquest-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on front passenger door
front bumper cracked bumper.
paint fading bonnet and roof
abs light on",33.0,2309.0,
2009,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,367462,5.0,JTNBU52E50J033987,BKL82L,Unregistered,4,1.8,Grey,Grey,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10349510/motor-vehicles-motor-cycles/2009-toyota-corolla-ascent-zre152r-automatic-sedan,please refer to the photos or arrange inspection to view the condition of this vehicle.,23.0,1711.0,
2016,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,171622,5.0,JTNKU3JE90J541935,1NY8RD,17-10-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054784/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
damaged rh indicator cracked",104.0,11300.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,245248,5.0,JTNBU52E20J012577,No plates,Unregistered,4,1.8,Silver,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21055065/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"medium scuff on various parts on panels
medium dent on rear bumper
dents or marks on body consistent with age and kilometres.
medium scratch on various parts on panels
paint cracked roof",41.0,4200.0,
2008,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,208348,5.0,JTNBU52E80J005763,XUK407,01-10-2025,4,1.8,Blue,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21055110/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"medium dent on various parts on panels
dents or marks on body consistent with age and kilometres.
paint peeling various parts on panels
paint fading various parts on panels
paint cracked various parts on panels
medium scratch on various parts on panels
medium scuff on various parts on panels",43.0,3800.0,
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,251084,5.0,JTNBU52E402007701,YDI834,01-04-2025,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046798/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium scratch on behind the rear left passenger door
paint fading on the roof
large dent on on the rear bumper",45.0,4009.0,
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,347714,5.0,JTNBU56E20J102922,No plates,Unregistered,4,1.8,White,Black,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50514633/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"marks in boot
large scratch on lh rear door and guard
paint peeling front bumper
dents or marks on body consistent with age and kilometres.
door card worn.",13.0,3100.0,
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,343816,5.0,JTNBU56EX0J101002,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50514631/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"paint peeling multiple panels
marks in boot
dents or marks on body consistent with age and kilometres.
large dent on lh rear door
medium scratch on lh rear guard and lh front bumper
medium dent on rh front guard",39.0,3500.0,
2013,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,184999,5.0,JTNKU3JE80J044696,1ZC7CQ,06-07-2025,4,1.8,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046943/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,dents or marks on body consistent with age and kilometres.,128.0,9500.0,
2014,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,225627,5.0,JTNKU3JE60J057530,1GF3AB,01-09-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055694/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
body/panel damage various parts on panels
large dent, scuff, scratch on various parts on panels",40.0,5000.0,
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,278585,5.0,JTNBU56E50J102672,1GX6SS,15-04-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047001/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large dent on on the front bumper
seat torn front passenger seat
hail damage visible.",42.0,4200.0,
