url,year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,general_condition,canonical_tag,canonical_reason,status,price,bids,time_remaining_or_date_sold,date_sold,reason_code,audit_ts
https://www.grays.com/lot/0001-60050716/motor-vehicles-motor-cycles/2014-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2014,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,205286,5.0,JM0KE102100242604,No plates,Unregistered,4.0,2.2,Red,Multi,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,6100.0,43.0,8h 34m7s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,172372,5.0,KMHH351EMJU026285,988MS4,Unregistered,4.0,2,White,Black,Yes,No,Yes,Partial,Yes,nsw,"front cracked bumper.
large dent on tailgate
engine noise observed.",hyundai_i30_active_petrol_auto_hatch_pd,[OK],active,4600.0,11.0,7h 59m7s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,191262,5.0,JTDJW923405101723,1AY7HV,24-04-2026,4.0,1.3,Black,Black,Yes,No,No,No,Yes,vic,"engine light on
front seat stains both
large scuff on around vehicle
paint fading around vehicle
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",toyota_yaris_yr_petrol_auto_hatch_ncp90r,[OK],active,1409.0,23.0,7h 58m55s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2015,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,124208,5.0,JM0KE102200305565,No plates,Unregistered,4.0,2.2,Charcoal,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
paint fading spoiler
medium dent on rhf door and guard",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,4109.0,73.0,7h 58m43s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,2014,HYUNDAI,I30,active,Hatchback,Automatic,Petrol,71539,5.0,KMHD251EMEU236967,nan,Unregistered,4.0,1.8,White,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, engine noise",hyundai_i30_active_petrol_auto_hatch_gd,[OK],active,709.0,8.0,1d 7h 58m32s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,2015,HYUNDAI,Ix35,se petrol,suv,Automatic,Petrol,179354,5.0,TMAJU81FMFJ788488,DN27MQ,Unregistered,4.0,2,WHITE,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, odometer requires attention, engine light on, rough start up.",hyundai_ix35_se_petrol_auto_wagon_lm,[OK],active,4100.0,13.0,7h 58m21s,,[OK],2026-05-06T02:47:35+00:00
https://www.grays.com/lot/0001-60050716/motor-vehicles-motor-cycles/2014-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2014,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,205286,5.0,JM0KE102100242604,No plates,Unregistered,4.0,2.2,Red,Multi,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,6100.0,43.0,8h 34m7s,,[OK],2026-05-06T18:40:59+00:00
https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,172372,5.0,KMHH351EMJU026285,988MS4,Unregistered,4.0,2,White,Black,Yes,No,Yes,Partial,Yes,nsw,"front cracked bumper.
large dent on tailgate
engine noise observed.",hyundai_i30_active_petrol_auto_hatch_pd,[OK],Referred,,15.0,,,[OK],2026-05-06T18:40:59+00:00
https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,191262,5.0,JTDJW923405101723,1AY7HV,24-04-2026,4.0,1.3,Black,Black,Yes,No,No,No,Yes,vic,"engine light on
front seat stains both
large scuff on around vehicle
paint fading around vehicle
medium scratch on around vehicle
dents or marks on body consistent with age and kilometres.",toyota_yaris_yr_petrol_auto_hatch_ncp90r,[OK],Referred,1509.0,24.0,06 May 2026 20:00 AEST,,[OK],2026-05-06T18:40:59+00:00
https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2015,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,124208,5.0,JM0KE102200305565,No plates,Unregistered,4.0,2.2,Charcoal,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
paint fading spoiler
medium dent on rhf door and guard",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],Referred,,109.0,,,[OK],2026-05-06T18:40:59+00:00
