year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,group_id,reason_code,audit_ts
2016,HOLDEN,Commodore,Evoke VF Series II,Sedan,Automatic,Petrol,240712,5.0,6G1FA5E55GL225429,1GZ3YU,19-04-2025,6,3,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044876/motor-vehicles-motor-cycles/2016-holden-commodore-evoke-vf-series-ii-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Rear Drivers and Dented",53,5400,2025-03-09,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2016,HOLDEN,Cruze,Equipe JH,Hatchback,Automatic,Petrol,99385,5.0,6G1PD6EM4GL247169,1IW6XY,21-03-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044843/motor-vehicles-motor-cycles/2016-holden-cruze-equipe-jh-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Panel
Windscreen Chipped or Cracked.
Body/panel damage Scrapes, Dent, Paint Peeling, Corrosion On Passenger Side",50,2909,2025-03-09,0,holden_cruze_hatch_petrol_auto_4cyl,,2026-01-19T05:05:39
2020,HYUNDAI,I30,Active PD,Hatchback,Automatic,Petrol,55152,5.0,KMHH351EMLU145530,1SR5PD,30-11-2025,4,2,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044998/motor-vehicles-motor-cycles/2020-hyundai-i30-active-pd-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint fading Spoiler",33,18200,2025-03-10,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2017,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,266650,5.0,JTNKU3JE40J559341,1JY9DC,12-04-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044985/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,Dents or marks on body consistent with age and kilometres.,99,9300,2025-03-11,0,toyota_corolla_hatch_petrol_auto,,2026-01-19T05:05:39
2012,HOLDEN,Captiva,7 LX AWD CG II,Wagon,Automatic,Diesel,153487,7.0,KL3CD266JCB095150,ZKZ229,03-10-2025,4,2.2,Maroon,Black Leather,Yes,Yes,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044861/motor-vehicles-motor-cycles/2012-holden-captiva-7-lx-awd-cg-ii-turbo-diesel-automatic-7-seats-wagon,Dents or marks on body consistent with age and kilometres.,30,3300,2025-03-11,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2012,FORD,Ranger,XL 4X2 Hi-Rider PX Dual,Dual Cab,Automatic,Diesel,198408,5.0,MNAUMFF80CW108814,1XT8QQ,18-03-2025,4,2.2,Grey,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044664/motor-vehicles-motor-cycles/2012-ford-ranger-xl-4x2-hi-rider-px-turbo-diesel-automatic-dual-cab,"Large Dent on Multiple panels
Large Scratch on RHR quarter panel, tailgate
Damaged Tail Light
Medium Dent on Bonnet",74,5800,2025-03-11,0,ford_ranger_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2010,FORD,Ranger,XL (4x4) PK Dual,Dual Cab,Automatic,Diesel,373311,5.0,MNAUSFE90AW916531,YKW208,07-04-2025,4,3,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044956/motor-vehicles-motor-cycles/2010-ford-ranger-xl-4x4-pk-turbo-diesel-automatic-dual-cab,"Engine light ON
Dents or marks on body consistent with age and kilometres.",71,4009,2025-03-11,0,ford_ranger_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2016,NISSAN,Navara,4X2 ST NP300 Dual,Dual Cab,Automatic,Diesel,277350,5.0,MNTCB2D23A0002894,No Plates,Unregistered,4,2.3,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044928/motor-vehicles-motor-cycles/2016-nissan-navara-4x2-st-np300-turbo-diesel-automatic-dual-cab,"Medium Scratch on doors, side panels, rear boot
Front Seat worn Drivers",74,11000,2025-03-11,0,nissan_navara_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2013,VOLKSWAGEN,Golf,90TSI Comfortline A7,Hatchback,Automatic,Petrol,216306,5.0,WVWZZZAUZEW095061,AAP948,30-01-2026,4,1.4,Black,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044907/motor-vehicles-motor-cycles/2013-volkswagen-golf-90tsi-comfortline-a7-automatic-hatchback,Large Dent on boot,23,4502,2025-03-11,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
2006,HOLDEN,Commodore,Omega,Sedan,Automatic,Petrol,264304,5.0,6G1EK52B47L908709,WHE035,02/02/2026,6,3.6,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045011/motor-vehicles-motor-cycles/2006-holden-commodore-omega-automatic-sedan,"Medium Scratch on doors, rear panels
Dents or marks on body consistent with age and kilometres.",25,1984,2025-03-11,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2005,HOLDEN,Commodore,Equipe VZ,Sedan,Automatic,Petrol,238642,5.0,6G1ZK52B15L431686,no plates,Unregistered,6,3.6,Silver,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045007/motor-vehicles-motor-cycles/2005-holden-commodore-equipe-vz-automatic-sedan,"Medium Scratch on front bumper
Medium Dent on passenger door
Airbag light ON",5,900,2025-03-11,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2017,MAZDA,Cx-5,Maxx (4x4) KF,Wagon,Automatic,Petrol,171597,5.0,JM0KF4WLA00122436,1KW7DS,12-09-2025,4,2.5,Blue,Black,Yes,Yes,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044953/motor-vehicles-motor-cycles/2017-mazda-cx-5-maxx-4x4-kf-automatic-wagon,Dents or marks on body consistent with age and kilometres.,213,14100,2025-03-11,0,mazda_cx5_suv_petrol_auto_25,,2026-01-19T05:05:39
2011,HOLDEN,Commodore,SV6 VE,Sedan,Automatic,Petrol,193072,5.0,6G1EK5EV0BL526319,No plates,Unregistered,6,3.6,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044975/motor-vehicles-motor-cycles/2011-holden-commodore-sv6-ve-automatic-sedan,"Engine light ON
Engine noise observed.
Body/panel damage front bumper and LHF guard
Large Scratch on LHR guard/door
Large Scratch on rear bumper",12,2509,2025-03-11,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
