canonical_tag,anchor_year,km_bucket,price_low,price_mid,price_high
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2009,30000,12150,13500,14850
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2009,60000,11450,12700,13950
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2009,100000,10600,11800,13000
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2009,150000,9900,11000,12100
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2009,200000,9000,10000,11000
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2011,30000,13500,15000,16500
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2011,60000,12800,14200,15600
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2011,100000,12150,13500,14850
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2011,150000,11250,12500,13750
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2011,200000,9250,10300,11300
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2013,30000,14400,16000,17600
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2013,60000,13600,15100,16600
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2013,100000,12800,14200,15600
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2013,150000,11800,13100,14400
toyota_corolla_ascent_petrol_auto_sedan_zre152r,2013,200000,10400,11600,12800
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2015,30000,17950,19500,21050
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2015,60000,17300,18800,20300
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2015,100000,17000,18490,19950
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2015,150000,15800,17200,18600
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2015,200000,14250,15500,16750
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2017,30000,20250,22000,23750
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2017,60000,19250,20990,22650
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2017,100000,17500,19000,20500
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2017,150000,16500,17950,19400
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2017,200000,14900,16200,17500
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2019,30000,22000,23900,25800
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2019,60000,22050,23939,25850
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2019,100000,20200,21990,23750
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2019,150000,20150,21888,23650
toyota_corolla_ascent_petrol_auto_sedan_zre172r,2019,200000,18200,19800,21400
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2013,30000,15200,16500,17800
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2013,60000,14000,15200,16400
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2013,100000,12900,14000,15100
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2013,150000,11500,12500,13500
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2013,200000,10100,11000,11900
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2015,30000,16100,17500,18900
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2015,60000,14900,16200,17500
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2015,100000,13800,15000,16200
toyota_corolla_ascent_petrol_auto_hatch_zre18x,2015,150000,12700,13800,14900
