year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2017,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,266650,5.0,JTNKU3JE40J559341,1JY9DC,12-04-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044985/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,dents or marks on body consistent with age and kilometres.,99,9300,2025-03-11
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,130259,5.0,KMHD251EMEU223932,1EPO033,Unregistered,4,1.8,Silver,Charcoal,Yes,Yes,Yes,No,Yes,wa,https://www.grays.com/lot/0001-9057550/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"flat battery. jump start or towing required
engine noise observed.
dents or marks on body consistent with age and kilometres.
left rear passenger door door not working
paint fading various panels
carpet worn in places.",60,5409,2025-03-11
2011,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,120052,5.0,JM0BL10F100225935,YHZ823,20-04-2025,4,2,Blue,Black,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21044938/motor-vehicles-motor-cycles/2011-mazda-3-neo-bl-automatic-hatchback,"light hail damage visible.
medium scratch on bonnet
engine light on
dents or marks on body consistent with age and kilometres.",68,5709,2025-03-11
2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,116895,5.0,KMHH351EMJU005318,no plates,Unregistered,4,2,Blue,Charcoal,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9057631/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,"dents or marks on body
engine knock - bottom end knock, engine requires attention",111,9500,2025-03-12
2018,TOYOTA,Camry,ascent hybrid axvh71r,Sedan,Automatic,Hybrid,57542,5.0,JTNB23HK603007765,No Plates,Unregistered,4.0,2.5,Champagne,Grey,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21059936/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan,dents or marks on body consistent with age and kilometres.,258,20100,2025-03-12
2011,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,139148,5.0,JTNBU56E10J064924,YNX934,19-08-2026,4.0,1.8,Grey,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21060079/motor-vehicles-motor-cycles/2011-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on around vehicle
damaged passenger side rear tail light
medium scratch on around vehicle",58,7000,2025-03-12
2012,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,97473,5.0,JM0BL10F200345063,1DYL181,25-04-2025,4,2,Blue,Charcoal,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9057816/motor-vehicles-motor-cycles/2012-mazda-3-neo-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading roof",86,8100,2025-03-17
2014,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,193733,5.0,JTNKU3JE20J083803,1GM5XW,15-07-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21045293/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"paint cracked rear bar
dents or marks on body consistent with age and kilometres.
controls broken heater and air conditioning / blower fan",119,8600,2025-03-17
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,131094,5.0,KMHD251EMEU217030,1EZO469,23-06-2025,4,1.8,Grey,Grey,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9057883/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"glovebox marks
dents or marks on body consistent with age and kilometres.
medium scuff on body
medium scratch on body
engine smoke visible",77,5401,2025-03-19
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,110192,5.0,KMHD351EMEU218351,1EE3GB,08-04-2025,4,1.8,Blue,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21045384/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large scuff on panel
large scratch on panel
engine smoke visible
engine noise observed.",3,5709,2025-03-19
