year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2025,MAZDA,Cx-80,g40e touring kl i-activ awd,suv,Automatic,Petrol,1545,7.0,JM0KL0HB001103584,FTQ01E,Unregistered,6,3.3,White,Black Leather,Yes,Yes,Yes,,,"wollongong, new south wales, 2500",https://www.grays.com/lot/0001-10352496/motor-vehicles-motor-cycles/2025-mazda-cx-80-g40e-touring-kl-auto-i-activ-awd,"air conditioning
alloy wheels
auto control
bluetooth capability
central locking
climate control
driver airbag
electric windows
heated front seats
hill holder system
leather trim
mp3 capability
park distance control front
park distance control rear
power steering
reversing camera
third row seat
location: wollongong, new south wales, 2500",UNCLASSIFIED,[OUT_OF_SCOPE],,active,8m31s,38300.0,227.0
2024,MAZDA,Cx-80,d50e azami kl i-activ awd,suv,Automatic,Diesel,1048,7.0,JM0KL0HC401101538,FTQ01J,Unregistered,6,3.3,White,Black Leather,Yes,Yes,Yes,,,"wollongong, new south wales, 2500",https://www.grays.com/lot/0001-10352497/motor-vehicles-motor-cycles/2024-mazda-cx-80-d50e-azami-kl-auto-i-activ-awd,"air conditioning
alloy wheels
auto control
bluetooth capability
central locking
climate control
driver airbag
electric windows
heated front seats
hill holder system
leather trim
mp3 capability
park distance control front
park distance control rear
power steering
reversing camera
third row seat
location: wollongong, new south wales, 2500",UNCLASSIFIED,[OUT_OF_SCOPE],,active,8m42s,46300.0,278.0
2015,NISSAN,Pathfinder,st r52,Wagon,CVT,Petrol,215896,7.0,5N1AR2MN9FC647401,No plates,Unregistered,6.0,3.5,Maroon,Grey,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352545/motor-vehicles-motor-cycles/2015-nissan-pathfinder-st-r52-cvt-7-seats-wagon,"engine noise observed.
front seat worn drivers seat
damaged passenger head light broken
paint fading roof and guards
medium dent on passenger rear door
large scratch on rear bar
front bar damaged cracked bumper.
large dent on bonnet",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 48m56s,9.0,1.0
2013,MITSUBISHI,Lancer,evolution x mr cj,Sedan,Automatic,Petrol,126580,5.0,JMFSMCZ4AEU000212,No plates,Unregistered,4,2,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352578/motor-vehicles-motor-cycles/2013-mitsubishi-lancer-evolution-x-mr-cj-automatic-sedan,"medium dent on bonnet
paint cracked front bumper bar
windscreen chipped or cracked.",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 43m46s,209.0,3.0
2010,SUZUKI,Kizashi,fr,Sedan,CVT,Petrol,171422,5.0,JSAFRE91S00120233,No plates,Unregistered,4,2.4,Black,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352579/motor-vehicles-motor-cycles/2010-suzuki-kizashi-fr-cvt-sedan,"front cracked bumper.
paint cracked rear bumper bar",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 43m30s,9.0,1.0
2009,NISSAN,Navara,st-x 4x4 king cab d40,Ute,Manual,Diesel,221757,4.0,MNTNCUD40A0002402,BB90SJ,Unregistered,4,2.5,Grey,Grey,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352580/motor-vehicles-motor-cycles/2009-nissan-navara-st-x-4x4-king-cab-d40-turbo-diesel-manual-ute,"paint peeling roof, bonnet, front guards
large scratch on front bumper bar, driver side front guard and door",UNCLASSIFIED,[OUT_OF_SCOPE],,active,22h 43m22s,1109.0,23.0
2016,HYUNDAI,Accent,active rb,Hatchback,CVT,Petrol,171178,5.0,KMHCT51BTGU295903,No plates,Unregistered,4,1.4,White,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352581/motor-vehicles-motor-cycles/2016-hyundai-accent-active-rb-cvt-hatchback,"front cracked bumper.
transmission requires attention strongly recommend inspection by qualified third party
engine light on",UNCLASSIFIED,[OUT_OF_SCOPE],,active,22h 43m11s,1650.0,24.0
2005,TOYOTA,Hilux,sr (4x4) kun26r,Ute,Manual,Diesel,307569,4.0,MR0HZ22G203500093,No plates,Unregistered,4.0,3,Black,Grey,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352582/motor-vehicles-motor-cycles/2005-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-ute,"windscreen chipped or cracked.
large dent on bull bar, passenger side front guard
paint fading roof
seat torn drivers seat
clutch requires attention",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 43m1s,309.0,4.0
2014,BMW,X5,sdrive 25d f15,Wagon,Automatic,Diesel,201870,5.0,WBAKS020700C06416,BM05WX,Unregistered,4,2,Silver,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352583/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,"large scratch on bumper bars
seat torn drivers seat
engine lacks power
other warning light on",UNCLASSIFIED,[OUT_OF_SCOPE],,active,22h 42m50s,8500.0,6.0
2008,SUBARU,Liberty,2.5i heritage b4,Sedan,Manual,Petrol,346284,5.0,JF1BL9KJ38G039686,No plates,Unregistered,4.0,2.5,Black,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352589/motor-vehicles-motor-cycles/2008-subaru-liberty-2-5i-heritage-b4-manual-sedan,"dash torn or cracked
front seat worn drivers seat worn and tears
back seat worn.
hail damage visible.
large dent on drivers quarter
large scratch on front bar
paint fading on roof bonnet and quarter panels
rear bar damaged cracked bumper.
clutch requires attention
suspension requires attention
large scratch on rear bumper.
noise observed from front of vehicle.
seals needs replacing.",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 42m39s,109.0,2.0
2013,CHRYSLER,300,limited lx,Sedan,Automatic,Petrol,188030,5.0,2C3CCATG0DH686534,FMA04D,Unregistered,6,3.6,Grey,Black,Yes,No,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352590/motor-vehicles-motor-cycles/2013-chrysler-300-limited-lx-automatic-8-speed-sedan,"rear cracked bumper.
medium scratch on front bumper bar
damaged driver side tail light
flat battery. jump start or towing required
other warning light on
hail damage visible.",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 42m30s,209.0,4.0
2010,RENAULT,Kangoo,van,van,Automatic,Petrol,225160,2.0,VF1FW0DBAA0659771,No plates,Unregistered,4,1.6,White,Grey,Yes,No,Yes,Partial,No,nsw,https://www.grays.com/lot/0001-10352591/motor-vehicles-motor-cycles/2010-renault-kangoo-automatic-van,"engine idling rough
engine light on
front seat worn drivers side
paint fading various panels
door mirror broken passenger side
windscreen chipped or cracked.
large dent on passengers sliding door, both quarter panels and barn doors
corrosion visible bonnet
engine smoke visible
other warning light on
flat battery. jump start or towing required
engine oil leak",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 42m20s,109.0,2.0
2009,BMW,X6,xdrive 50i e71 lci,Coupe,Automatic,Petrol,136328,4.0,WBAFG82050LL79073,FHV96A,Unregistered,8,4.4,Black,Cream,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352592/motor-vehicles-motor-cycles/2009-bmw-x6-xdrive-50i-e71-lci-automatic-8-speed-coupe,"front cracked bumper.
paint cracked rear bumper bar
engine idling rough
engine smoke visible
engine lacks power
engine light on
paint peeling on door window trims
door card worn.
medium scratch on front side guards, rear panel, front bumper",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 42m5s,609.0,11.0
2015,FORD,Ecosport,trend bk,Wagon,Automatic,Petrol,111402,5.0,MAJBXXMRKBFE32385,DN77VP,Unregistered,4.0,1.5,Black,Grey,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352593/motor-vehicles-motor-cycles/2015-ford-ecosport-trend-bk-automatic-wagon,"transmission requires attention strongly recommend inspection by qualified third party
engine light on
other warning light on
traction control light on
radio not working
hail damage visible.
large scratch on drivers door
medium dent on drivers qyarter
rear bar cracked bumper.
medium dent on passenger cant rail
large scratch on front bar",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 41m54s,209.0,3.0
2008,TOYOTA,Crown,import,Sedan,Automatic,Petrol,133405,5.0,6ZZ8GRS2040004708,No plates,Unregistered,6.0,3.5,White,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352594/motor-vehicles-motor-cycles/2008-toyota-crown-import-automatic-sedan,"medium scratch on front bumper bar, passenger side sill skirt
steering requires attention.
engine light on
traction control light on",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 41m46s,1400.0,17.0
2020,LAND,Rover,range rover velar p250 r-dynamic s l560 - pinkslip 30 1 26,Wagon,Automatic,Petrol,47392,5.0,SALYA2AX4LA282934,EJL32L,29-09-2026,4,2,White,Black,Yes,No,No,Yes,Yes,nsw,https://www.grays.com/lot/0001-10352595/motor-vehicles-motor-cycles/2020-land-rover-range-rover-velar-p250-r-dynamic-s-l560-pinkslip-30-1-26,"other warning light on
service history online",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 41m37s,621.0,6.0
2019,HONDA,Civic,vti-l 10th gen,Sedan,CVT,Petrol,97571,5.0,MRHFC1660KT070381,FTW63A,Unregistered,4.0,1.5,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352596/motor-vehicles-motor-cycles/2019-honda-civic-vti-l-10th-gen-cvt-sedan,"rear cracked bumper.
large dent on passenger side cant rail, bootlid
door mirror broken passenger side
engine light on
traction control light on
other warning light on
large scratch on passenger side lower sill skirt",UNCLASSIFIED,[OUT_OF_SCOPE],,active,3d 22h 41m27s,4700.0,82.0
