year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2022,Toyota,Camry,Ascent Hybrid,Sedan,Automatic,Hybrid,47183.0,,,,,,,,,,,,,,VIC,car/14859094/toyota/camry/vic/laverton-north/sedan,,,,,active,,33500.0,
2019,Toyota,Camry,Ascent (Hybrid),Sedan,Automatic,Hybrid,90615.0,,,,,,,,,,,,,,VIC,car/14824726/toyota/camry/vic/springvale/sedan,,,,,active,,27990.0,
2012,Toyota,Corolla,Ascent,Hatchback,Automatic,Unleaded,229950.0,,,,,,,,,,,,,,VIC,car/14953641/toyota/corolla/vic/bayswater/hatchback,,,,,active,,9999.0,
2014,Toyota,Corolla,Ascent,Hatchback,Automatic,Unleaded,143200.0,,,,,,,,,,,,,,VIC,car/14920238/toyota/corolla/vic/maidstone/hatchback,,,,,active,,15990.0,
2010,Toyota,Corolla,Ascent,Sedan,Automatic,Unleaded,194676.0,,,,,,,,,,,,,,VIC,car/14824907/toyota/corolla/vic/altona-north/sedan,,,,,active,,9999.0,
2011,Toyota,Corolla,Ascent,Sedan,Automatic,Unleaded,129000.0,,,,,,,,,,,,,,VIC,car/14931025/toyota/corolla/vic/northcote/sedan,,,,,active,,10499.0,
2018,Toyota,Corolla,Ascent,Sedan,Automatic,Unleaded,29259.0,,,,,,,,,,,,,,VIC,car/14929671/toyota/corolla/vic/berwick/sedan,,,,,active,,24999.0,
2016,Toyota,Corolla,Ascent,Sedan,Automatic,Unleaded,148160.0,,,,,,,,,,,,,,VIC,car/14841834/toyota/corolla/vic/sunshine/sedan,,,,,active,,15999.0,
2022,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,Automatic,Hybrid,41423.0,,,,,,,,,,,,,,VIC,car/14926346/toyota/corolla/vic/heidelberg/hatchback,,,,,active,,29777.0,
2022,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,Automatic,Hybrid,89690.0,,,,,,,,,,,,,,VIC,car/14835944/toyota/corolla/vic/springvale/hatchback,,,,,active,,24990.0,
2024,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,Automatic,Hybrid,48075.0,,,,,,,,,,,,,,VIC,car/14761772/toyota/corolla/vic/elsternwick/hatchback,,,,,active,,30977.0,
2024,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,Automatic,Hybrid,49305.0,,,,,,,,,,,,,,VIC,car/14923341/toyota/corolla/vic/laverton-north/hatchback,,,,,active,,31888.0,
2023,Toyota,Corolla,Ascent Sport,Hatchback,Automatic,Unleaded,837.0,,,,,,,,,,,,,,VIC,car/14913510/toyota/corolla/vic/melbourne/hatchback,,,,,active,,34990.0,
2019,Toyota,Corolla,Ascent Sport,Hatchback,Automatic,Unleaded,44826.0,,,,,,,,,,,,,,VIC,car/14892278/toyota/corolla/vic/tottenham/hatchback,,,,,active,,25888.0,
2014,Toyota,Corolla,Ascent Sport,Hatchback,Automatic,Unleaded,146267.0,,,,,,,,,,,,,,VIC,car/14914428/toyota/corolla/vic/laverton-north/hatchback,,,,,active,,14490.0,
2018,Toyota,Corolla,Ascent Sport,Hatchback,Automatic,Unleaded,83822.0,,,,,,,,,,,,,,VIC,car/14906748/toyota/corolla/vic/south-melbourne/hatchback,,,,,active,,21990.0,
