bidder_name,bid_count,listings,avg_bid,max_bid,reserve_met_count
D.M - PORT MELBOURNE VIC,9,5,,,9
R.S - Marsden Park NSW,8,4,,,8
a.l - blaxcell NSW,7,4,,,7
s.f - kirkwood QLD,7,4,,,7
A.M - Yowie Bay NSW,5,4,,,3
M.C - Castle hill NSW,6,3,,,6
S.S - Wakeley NSW,6,3,,,6
C.S - Roseville NSW,5,3,,,5
H.A - South Brisbane QLD,5,3,,,5
M.C - GREENSBOROUGH VIC,3,3,,,0
A.B - WATTLE GROVE NSW,4,2,,,4
A.M - HILLSDALE NSW,4,2,,,2
G.P - Dandenong VIC,4,2,,,4
K.M - pendle hill NSW,4,2,,,2
K.N - MORPHETT VALE SA,4,2,,,4
M.B - Revesby NSW,4,2,,,4
M.F - Wiley park NSW,4,2,,,4
M.H - Ingleburn NSW,4,2,,,4
M.I - Liverpool NSW,4,2,,,4
M.J - Kellyville NSW,4,2,,,4
P.S - Hartley NSW,4,2,,,4
R.M - Voyager point NSW,4,2,,,4
S.P - Roselands NSW,4,2,,,4
h.c - St Andrews NSW,4,2,,,4
j.p - HELENVALE QLD,4,2,,,4
s.r - auburn NSW,4,2,,,4
F.C - Noarlunga Downs SA,3,2,,,0
K.B - Upper Caboolture QLD,3,2,,,1
K.S - Ashfield NSW,3,2,,,3
M.M - Ashfield NSW,3,2,,,3
P.C - Rosehill NSW,3,2,,,2
S.S - Greenfield park NSW,3,2,,,3
A.A - Dandenong north VIC,2,2,,,0
A.Z - Cedar grove QLD,2,2,,,0
B.H - CONDINGUP WA,2,2,,,0
B.L - Clyde north VIC,2,2,,,0
B.W - East Bendigo VIC,2,2,,,0
C.G - EAGLEBY QLD,2,2,,,1
C.K - LAVERTON NORTH VIC,2,2,,,0
D.B - Banyo QLD,2,2,,,0
D.C - Beechboro WA,2,2,,,0
D.D - DELETED DELETED,2,2,,,0
D.S - TUART HILL WA,2,2,,,0
I.A - Biloela QLD,2,2,,,1
R.V - Baldivis WA,2,2,,,0
S.K - Nairne SA,2,2,,,0
S.L - Parramatta NSW,2,2,,,0
V.B - Richmond VIC,2,2,,,1
d.c - Underwood QLD,2,2,,,1
f.p - Cranbourne VIC,2,2,,,0
k.m - Armstrong Creek VIC,2,2,,,0
z.k - wollert VIC,2,2,,,0
A.M - Bondi Junction NSW,4,1,,,0
D.S - Truganina VIC,4,1,,,0
G.H - Barretta TAS,4,1,,,0
K.K - Ryde NSW,4,1,,,0
M.D - Mickleham VIC,4,1,,,0
O.S - Pitt town NSW,4,1,,,0
P.M - Lane Cove NSW,4,1,,,0
P.R - Albion Park rail NSW,4,1,,,0
R.O - Miranda NSW,4,1,,,0
S.E - Gap Ridge WA,4,1,,,0
Z.S - Epping VIC,4,1,,,0
r.z - greenacre NSW,4,1,,,0
s.i - FINDON SA,4,1,,,0
-.A - point cook VIC,2,1,,,2
A.A - Bankstown NSW,2,1,,,2
A.H - Robina QLD,2,1,,,2
A.I - Penrith NSW,2,1,,,2
A.K - Campsie NSW,2,1,,,2
A.K - ROSEHILL NSW,2,1,,,2
A.K - Westmead NSW,2,1,,,2
A.P - Mount Lewis NSW,2,1,,,2
A.T - MUDGEERABA QLD,2,1,,,2
A.V - Tarneit VIC,2,1,,,2
A.b - Seven hills NSW,2,1,,,2
B.A - Sefton NSW,2,1,,,2
B.M - North Haven SA,2,1,,,2
C.B - Ambarvale NSW,2,1,,,0
