url,bidders,bid_rows,max_bid,reserve_met
https://www.grays.com/lot/0001-21045980/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-srt-8-wk-automatic-8-speed-wagon,36,36,,False
https://www.grays.com/lot/0001-10351962/motor-vehicles-motor-cycles/2021-toyota-camry-sl-hybrid-axvh70r-cvt-sedan,32,64,,True
https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,32,64,,True
https://www.grays.com/lot/0001-10351961/motor-vehicles-motor-cycles/2021-toyota-kluger-4x2-gx-gsu70r-automatic-8-speed-7-seats-wagon,30,60,,True
https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,30,30,,False
https://www.grays.com/lot/0001-10347429/motor-vehicles-motor-cycles/2017-audi-a4-2-0-tfsi-quatt-sport-b9-automatic-sedan,29,29,,False
https://www.grays.com/lot/0001-9059754/motor-vehicles-motor-cycles/2018-toyota-hilux-automatic-ute,27,27,,False
https://www.grays.com/lot/0001-21049047/motor-vehicles-motor-cycles/2017-land-rover-range-rover-evoque-td4-150-se-turbo-diesel-9-auto-wagon,26,26,,False
https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,24,48,,True
https://www.grays.com/lot/0001-21045327/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-srt-8-wk-automatic-8-speed-wagon,24,24,,False
https://www.grays.com/lot/0001-10352029/motor-vehicles-motor-cycles/2020-great-wall-steed-4x2-manual-dual-cab,23,46,,True
https://www.grays.com/lot/0001-9057574/motor-vehicles-motor-cycles/2009-toyota-landcruiser-workmate-4x4-vdj79r-t-diesel-manual-cab-chassis,23,23,,False
https://www.grays.com/lot/0001-50711761/motor-vehicles-motor-cycles/2011-mercedes-benz-c250-be-c204-automatic-coupe,22,22,,True
https://www.grays.com/lot/0001-21044862/motor-vehicles-motor-cycles/2003-toyota-landcruiser-sahara-4x4-uzj100r-automatic-7-seats-wagon,21,21,,False
https://www.grays.com/lot/0001-21044883/motor-vehicles-motor-cycles/1991-mitsubishi-gto-import-manual-coupe,19,19,,False
https://www.grays.com/lot/0001-21045457/motor-vehicles-motor-cycles/2003-porsche-cayenne-s-automatic-wagon,19,19,,False
https://www.grays.com/lot/0001-50711825/motor-vehicles-motor-cycles/2011-mercedes-benz-c250-be-c204-automatic-coupe,17,17,,False
https://www.grays.com/lot/0001-10351963/motor-vehicles-motor-cycles/2021-jeep-cherokee-80th-anniversary-kl-9-auto-wagon,14,14,,True
https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,13,52,,False
https://www.grays.com/lot/0001-21046201/motor-vehicles-motor-cycles/2003-porsche-cayenne-s-automatic-wagon,13,13,,False
https://www.grays.com/lot/0001-9058460/motor-vehicles-motor-cycles/2009-toyota-landcruiser-workmate-4x4-vdj79r-t-d-manual-cab-chassis,13,13,,False
https://www.grays.com/lot/0001-10352028/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,12,12,,True
https://www.grays.com/lot/0001-21047163/motor-vehicles-motor-cycles/2007-bmw-x5-3-0d-e70-turbo-diesel-automatic-7-seats-wagon,12,12,,False
https://www.grays.com/lot/0001-9057516/motor-vehicles-motor-cycles/2011-volkswagen-passat-125tdi-highline-3c-turbo-diesel-automatic-wagon,12,12,,False
https://www.grays.com/lot/0001-10352014/motor-vehicles-motor-cycles/2014-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,8,16,,False
https://www.grays.com/lot/0001-60047400/motor-vehicles-motor-cycles/2008-mercedes-benz-clc-200k-cl203-automatic-coupe,8,8,,False
https://www.grays.com/lot/0001-10352027/motor-vehicles-motor-cycles/2010-volkswagen-tiguan-125-tsi-5n-automatic-wagon,5,5,,True
https://www.grays.com/lot/0001-21045442/motor-vehicles-motor-cycles/2014-mazda-cx-9-grand-touring-automatic-7-seats-wagon,1,1,,False
