year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition
2012.0,Mazda,BT-50,4X4 GT Turbo Diesel Automatic Dual Cab,Dual Cab,Automatic,Diesel,272946,5.0,MM0UP0YF100107031,YZD734,"Sold Unregistered, Without Plates",5.0,3.2,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352630/motor-vehicles-motor-cycles/2012-mazda-bt-50-4x4-gt-turbo-diesel-automatic-dual-cab,"Engine noise observed.
Seat Torn Drivers seat
Paint fading On various panels
Large Dent on Drivers guard
Windscreen Chipped or Cracked.
Large Dent on Drivers rear quarter panel"
2018.0,Toyota,Camry,Ascent ASV70R Automatic Sedan,Sedan,Automatic,Petrol,71390,5.0,JTNBF3HK003012044,No plates,"Sold Unregistered, Without Plates",4.0,2.5,Silver,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352641/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-asv70r-automatic-sedan,"Hail damage visible.Gear Knob BrokenInterior: Steering wheel worn Exterior: Areas of poor quality paint and panel repairs.Engine rattle on cold start up
Hail damage visible.
Gear Knob Broken
Interior: Steering wheel worn Exterior: Areas of poor quality paint and panel repairs.
Engine rattle on cold start up"
2012.0,Volvo,XC60,D5 R DESIGN Turbo Diesel Automatic Wagon,Wagon,Automatic,Diesel,291010,5.0,YV1DZ8256D2394072,No plates,"Sold Unregistered, Without Plates",5.0,2.4,Black,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352695/motor-vehicles-motor-cycles/2012-volvo-xc60-d5-r-design-turbo-diesel-automatic-wagon,"Other Warning light ON
Door Mirror Broken Passenger side
Paint peeling Drivers quarter and rear door
Paint fading On roof
Front bar damaged Cracked bumper.
Medium Scuff on various panels"
,Amarok,TDi420,Trendline 2H Turbo Diesel Automatic,Dual Cab,Automatic - 8 Speed,Diesel,330969,5.0,WV1ZZZ2HZDA054881,CPM70E,"Sold Unregistered, Without Plates",4.0,2.0,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352696/motor-vehicles-motor-cycles/volkswagen-amarok-tdi420-trendline-2h-turbo-diesel-automatic,"Front Cracked bumper.
Corrosion visible Roof, above front windscreen
Engine Oil Leak
Engine light ON
Other Warning light ON"
2016.0,Hyundai,Accent,Active RB CVT Hatchback,Hatchback,CVT,Petrol,171178,5.0,KMHCT51BTGU295903,No plates,"Sold Unregistered, Without Plates",4.0,1.4,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352698/motor-vehicles-motor-cycles/2016-hyundai-accent-active-rb-cvt-hatchback,"Front Cracked bumper.
Transmission Requires attention Strongly recommend inspection by qualified third party
Engine light ON"
2014.0,BMW,X5,sDrive 25d F15 Turbo Diesel Automatic - 8 Speed Wagon,Wagon,Automatic - 8 Speed,Diesel,201870,5.0,WBAKS020700C06416,BM05WX,"Sold Unregistered, Without Plates",4.0,2.0,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352699/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,"Large Scratch on Bumper bars
Seat Torn Drivers seat
Engine lacks power
Other Warning light ON"
2005.0,Mini,Cooper,Cabrio S Manual Convertible,Convertible,Manual,Petrol,160563,4.0,WMWRH32050TG84976,BDE42T,12-02-2026 - Registration will only be transferred to the registered bidder who must hold a valid NSW Licence otherwise vehicle will be sold unregistered.,4.0,1.6,Blue,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352701/motor-vehicles-motor-cycles/2005-mini-cooper-cabrio-s-manual-convertible,"Engine idling rough
Steering requires attention.
Seat Torn Drivers seat
Engine noise observed.
Damaged Passenger tail light
Medium Scratch on Rear bar
Front bar damaged Cracked bumper.
Medium Dent on Bonnet
Paint peeling Bonnet scoop"
2018.0,Mazda,BT-50,4X2 XT Turbo Diesel Automatic Cab Chassis,Cab Chassis,Automatic,Diesel,"129168 - Odometer discrepancy detected, see attached history report.",2.0,MM0UR0YE100814411,FYH15V,"Sold Unregistered, Without Plates",4.0,2.2,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352702/motor-vehicles-motor-cycles/2018-mazda-bt-50-4x2-xt-turbo-diesel-automatic-cab-chassis,"Front Seat worn Drivers seat
Front bumper damage Cracked bumper.
Medium Dent on Passenger door, b pillar and drivers guard
Engine noise observed."
2012.0,Volkswagen,Golf,118TSI Comfortline A6 Automatic Hatchback,Hatchback,Automatic,Petrol,203527,5.0,WVWZZZ1KZDP049458,DP67FV,"29-04-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4.0,1.4,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352703/motor-vehicles-motor-cycles/2012-volkswagen-golf-118tsi-comfortline-a6-automatic-hatchback,"Transmission Requires attention Strongly recommend inspection by qualified third party
ABS light ON
Traction control light ON
Hood Lining Sagging
Large Dent on Passenger guard, passengers rear door, tailgate
Paint fading Various panels
Front and rear bars damaged Cracked bumper.
Windscreen Chipped or Cracked.
Hail damage visible.
Medium Dent on Bonnet and drivers door
Damaged Both headlight broken
Other Warning light ON"
2002.0,Toyota,HiAce,SBV LWB RCH22R Manual Van,Van,Manual,Petrol,301767,2.0,JT721UK2200004070,YCK095,"08-05-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4.0,2.4,White,Grey,Yes,No,No,No,No,NSW,https://www.grays.com/lot/0001-10352704/motor-vehicles-motor-cycles/2002-toyota-hiace-sbv-lwb-rch22r-manual-van,"Flat Battery. Jump start or towing required
Carpet worn in places.
Large Dent on Passenger guard, passengers sliding door, sill panels, passengers rear barn door, drivers quarter panel and drivers front guard
Medium Dent on Drivers rear barn door
Hail damage visible.
Corrosion visible Engine bay, front screen, roof
Large Dent on Roof damaged
Large Scratch on Front and rear bars
Glovebox Would not Open/Close
Engine noise observed.
Engine light ON
Other Warning light ON"
2016.0,Nissan,Patrol,3.0L ST GU Turbo Diesel Automatic 7 Seats Wagon,Wagon,Automatic,Diesel,222845,7.0,JN1TESY61A0436227,984KW5,"Sold Unregistered, Without Plates",4.0,3.0,White,Grey,Yes,No,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352706/motor-vehicles-motor-cycles/2016-nissan-patrol-3-0l-st-gu-turbo-diesel-automatic-7-seats-wagon,"Large Dent on Roof
Medium Scratch on Wheel arch flares"
1995.0,Holden,Commodore,Executive VR Automatic Sedan,Sedan,Automatic,Petrol,438855,5.0,6H8VRK19HSL799476,No plates,"Sold Unregistered, Without Plates",6.0,3.8,White,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352707/motor-vehicles-motor-cycles/1995-holden-commodore-executive-vr-automatic-sedan,"Engine idling rough
Front Seat worn Drivers seat
Back Seat Stains.
Large Scratch on Rear bar
Paint peeling Front bar
Paint fading Guards and bonnet
Corrosion visible Around rear screen
Steering requires attention.
Transmission Requires attention Strongly recommend inspection by qualified third party"
2008.0,BMW,3,Series 323i E92 Automatic Coupe,Coupe,Automatic,Petrol,324070,4.0,WBAWB12090JY93784,DJ38AJ,"Sold Unregistered, Without Plates",6.0,2.5,Grey,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352708/motor-vehicles-motor-cycles/2008-bmw-3-series-323i-e92-automatic-coupe,"Hail damage visible.
Front Cracked bumper.
Damaged Driver side tail light
Large Dent on Rear quarter panels, drivers door
Large Scratch on Drivers door and rear quarter panel
Engine noise observed.
Driveline requires attention, recommend inspection by qualified third party
Other Warning light ON
Controls inoperable iDrive system faulty
Controls Broken Buttons under audio unit not secure.
Engine replaced"
2005.0,Land,Rover,Range Rover Sport Automatic Wagon - Pinkslip Issued 11/2/26,Wagon,Automatic,Petrol,165622,5.0,SALLSAA336A918409,NXK41B,23-04-2026 - Registration will only be transferred to the registered bidder who must hold a valid NSW Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,8.0,4.2,Orange,Cream,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352709/motor-vehicles-motor-cycles/2005-land-rover-range-rover-sport-automatic-wagon-pinkslip-issued-11-2-26,"Controls inoperable Handbrake fault message on dash
Suspension requires attention
Hood Lining Sagging
Front Seat worn Front seats
Hail damage visible.
Paint peeling On various panels
Large Dent on Passenger guard, drivers quarter panel
Large Scratch on Drivers door, drivers quarter panel, rear bar and passenger rear door
Damaged Drivers tail light
Door card Damaged."
,Benz,C220,CDI Classic W204 Turbo Diesel Automatic Sedan,Sedan,Automatic,Diesel,237706,5.0,WDD2040082A240153,CLB38A,"Sold Unregistered, Without Plates",4.0,2.1,White,Black,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352710/motor-vehicles-motor-cycles/mercedes-benz-c220-cdi-classic-w204-turbo-diesel-automatic-sedan,"Medium Scratch on Front Bonnet
Paint fading Roof
Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Medium Scratch on Front Bumper
Medium Scratch on Drivers Front &amp; Rear Doors
Medium Scratch on Passengers Front &amp; Back Doors
Dents or marks on body consistent with age and kilometres.
Large Scratch on Rear Bumper
Engine noise observed.
Front Seat worn Both Front Seats
Flat Battery. Jump start or towing required"
2018.0,Toyota,HiAce,KDH223R Turbo Diesel Automatic 12 Seats Bus,Bus,Automatic,Diesel,61077,12.0,JTFST22PX00038333,No plates,"Sold Unregistered, Without Plates",4.0,3.0,White,Grey,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352712/motor-vehicles-motor-cycles/2018-toyota-hiace-kdh223r-turbo-diesel-automatic-12-seats-bus,"Large Dent on Tailgate, sills, sliding door
Corrosion visible Roof, bonnet, passenger side front door, tailgate, sills
Damaged Centre brake light
Other Warning light ON
Driveline requires attention, recommend inspection by qualified third party"
2012.0,Toyota,LandCruiser,Prado GX KDJ150R Turbo Diesel Manual Wagon,Wagon,Manual,Diesel,245292,5.0,JTEBH3FJX0K078577,No plates,"Sold Unregistered, Without Plates",4.0,3.0,White,Grey,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352713/motor-vehicles-motor-cycles/2012-toyota-landcruiser-prado-gx-kdj150r-turbo-diesel-manual-wagon,"Clutch Requires attention
Front Seat worn Drivers seat
Paint fading Various panels
Body/panel damage Rear end
Windscreen Chipped or Cracked.
Corrosion visible Roof tailgate and underbody
Medium Scratch on various panels"
2016.0,Ford,Falcon,FG X Automatic Cab Chassis,Cab Chassis,Automatic,LPG,230942,2.0,6FPAAAJGCMGC22505,No Plates,"Sold Unregistered, Without Plates",6.0,4.0,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352714/motor-vehicles-motor-cycles/2016-ford-falcon-fg-x-automatic-cab-chassis,"Large Dent on Passenger side rear quarter
Medium Dent on Drivers door
Large Scratch on Front bumper bar"
2017.0,Mercedes,Benz,A-Class A180 W176 Automatic Hatchback (WOVR - Inspected),Hatchback,Automatic,Petrol,48750,5.0,WDD1760422J720257,No plates,"Sold Unregistered, Without Plates",4.0,1.6,Black,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352715/motor-vehicles-motor-cycles/2017-mercedes-benz-a-class-a180-w176-automatic-hatchback-wovr-inspected,"Large Scratch on Bonnet, rear bumper bar
Other Warning light ON
Note: This vehicle is listed on the Written Off Vehicle Register (WOVR). Details of the status can be found in the PPSR attached at the bottom of this description. Please refer to your relevant state-based road authority to determine whether this vehicle will require inspection or will be able to be registered based on the recorded WOVR status."
2015.0,Nissan,JUKE,Ti-S F15 II Manual Wagon,Wagon,Manual,Petrol,141816,5.0,SJNFAAF15A7082078,CK79VD,"Sold Unregistered, Without Plates",4.0,1.6,Red,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352716/motor-vehicles-motor-cycles/2015-nissan-juke-ti-s-f15-ii-manual-wagon,"Clutch Requires attention
Seat Torn Drivers seat
Paint peeling Roof and rear bar
Medium Dent on Passenger guard
Medium Scratch on Passenger guard, passenger front door and rear doors and drivers rear door"
2008.0,Subaru,Liberty,2.5i Heritage B4 Manual Sedan,Sedan,Manual,Petrol,346284,5.0,JF1BL9KJ38G039686,No plates,"Sold Unregistered, Without Plates",4.0,2.5,Black,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352717/motor-vehicles-motor-cycles/2008-subaru-liberty-2-5i-heritage-b4-manual-sedan,"Dash Torn or Cracked
Front Seat worn Drivers seat worn and tears
Back Seat worn.
Hail damage visible.
Large Dent on Drivers quarter
Large Scratch on Front bar
Paint fading On roof bonnet and quarter panels
Rear bar damaged Cracked bumper.
Clutch Requires attention
Suspension requires attention
Large Scratch on rear bumper.
Noise observed from front of vehicle.
Seals needs replacing."
2015.0,Jaguar,XE,25t PORTFOLIO Automatic - 8 Speed Sedan,Sedan,Automatic - 8 Speed,Petrol,151732,5.0,SAJAB4AG6GA932694,DN32GS,"Sold Unregistered, Without Plates",4.0,2.0,White,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352718/motor-vehicles-motor-cycles/2015-jaguar-xe-25t-portfolio-automatic-8-speed-sedan,"Front Seat worn Drivers seat
Large Dent on Dent and scratched on passenger rear door and quarter panel
Large Scratch on Front and rear bars"
2014.0,Toyota,Hilux,4X2 WORKMATE TGN16R Automatic Cab Chassis,Cab Chassis,Automatic,Petrol,126290,2.0,MR0CX12G800117903,CA36AD,"Sold Unregistered, Without Plates",4.0,2.7,White,Grey,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352719/motor-vehicles-motor-cycles/2014-toyota-hilux-4x2-workmate-tgn16r-automatic-cab-chassis,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2016.0,Renault,Koleos,ZEN 4x2 XZG CVT Wagon,Wagon,CVT,Petrol,147082,5.0,VF1RZG002G0241749,DJZ45J,"28-03-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4.0,2.5,Blue,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352721/motor-vehicles-motor-cycles/2016-renault-koleos-zen-4x2-xzg-cvt-wagon,"Paint fading Roof, bonnet
Medium Scratch on Driver side rear quarter panel, rear bumper bar
TPMS light showing"
2009.0,Mercedes,Benz,CLC 200 200K CL203 Automatic Coupe,Coupe,Automatic,Petrol,229639,5.0,WDB2037412E077783,EEY49M,"Sold Unregistered, Without Plates",4.0,1.8,Grey,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352722/motor-vehicles-motor-cycles/2009-mercedes-benz-clc-200-200k-cl203-automatic-coupe,"Windscreen Chipped or Cracked.
Front Seat Stains Stains on front seats
Door Mirror Broken Passenger side mirror loose
Medium Scratch on Passenger door
Large Dent on Passenger quarter panel
Rear bar dent and scratched Cracked bumper.
Large Scratch on Front bar and bonnet
Engine light ON"
2012.0,Mitsubishi,Mirage,LS LA Manual Hatchback,Hatchback,Manual,Petrol,147982,5.0,MMAXNA03AEH001429,CJY46H,"Sold Unregistered, Without Plates",3.0,1.2,Pink,Black,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352723/motor-vehicles-motor-cycles/2012-mitsubishi-mirage-ls-la-manual-hatchback,"Hail damage visible.
Medium Dent on Tailgate
Large Scratch on Front bumper bar, passenger side front guard, passenger side rear quarter panel, rear bumper bar
Carpet worn in places."
2010.0,Mercedes,Benz,C200 CGI W204 Automatic Sedan,Sedan,Automatic,Petrol,153418,5.0,WDD2040482A440663,CQ00QL,"Sold Unregistered, Without Plates",4.0,1.8,Black,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352724/motor-vehicles-motor-cycles/2010-mercedes-benz-c200-cgi-w204-automatic-sedan,"Engine noise observed.
Engine Oil Leak
Front Cracked bumper.
Large Scratch on Driver side doors
Seat Torn Drivers seat
Door card Damaged.
Other Warning light ON
Door Mirror Broken Passenger side
Controls inoperable Drivers electric seat adjustment requires attention
Dents or marks on body
Medium Scuff on both bumpers"
2015.0,Jeep,Grand,Cherokee OVERLAND WK Turbo Diesel Automatic - 8 Speed Wagon,Wagon,Automatic - 8 Speed,Diesel,200795,5.0,1C4RJFGM2FC755609,DAU58S,"Sold Unregistered, Without Plates",6.0,3.0,Black,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352725/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-overland-wk-turbo-diesel-automatic-8-speed-wagon,"Medium Scratch on Rear bumper bar
Medium Dent on Drivers door"
2018.0,HSV,Colorado,SPORTSCAT RG Turbo Diesel Automatic Dual Cab,Dual Cab,Automatic,Diesel,138156,5.0,MMU148PK0KH614351,1VP6NB,"Sold Unregistered, Without Plates",4.0,2.8,Red,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352726/motor-vehicles-motor-cycles/2018-hsv-colorado-sportscat-rg-turbo-diesel-automatic-dual-cab,Medium Dent on Roof
2010.0,Audi,Q5,2.0 TFSI Quattro 8R Automatic Wagon,Wagon,Automatic,Premium Unleaded,209302,5.0,WAUZZZ8R5BA026267,BTD26H,"Sold Unregistered, Without Plates",4.0,2.0,Black,Tan,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352727/motor-vehicles-motor-cycles/2010-audi-q5-2-0-tfsi-quattro-8r-automatic-wagon,"Engine noise observed.
Hood Lining Sagging
Medium Scratch on Medium scratches on rear bar
Medium Scratch on Drivers mirrot
Paint fading On bonnet
Driveline requires attention, recommend inspection by qualified third party"
2011.0,BMW,X5,xDrive 30d E70 LCI Turbo Diesel Automatic - 8 Speed Wagon,Wagon,Automatic - 8 Speed,Diesel,384302,5.0,WBAZW42070L789673,FJY05P,"Sold Unregistered, Without Plates",6.0,3.0,Grey,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352728/motor-vehicles-motor-cycles/2011-bmw-x5-xdrive-30d-e70-lci-turbo-diesel-automatic-8-speed-wagon,"Driveline requires attention, recommend inspection by qualified third party
Transmission Requires attention Strongly recommend inspection by qualified third party
Other Warning light ON
Engine noise observed.
Door Mirror Broken Drivers side
Medium Dent on Drivers quarter panel
Damaged Rear reflectors cracked
Large Dent on Tail gate both upper and lower
Paint peeling Drivers guard
Front and rear bars damaged Cracked bumper.
Large Scratch on Front bar
Windscreen Chipped or Cracked."
