year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,referral_reason,status,canonical_tag,canonical_reason
2022.0,jeep,compass,s-limited bg 9 (wovr - inspected),wagon,5.0,2022-08,2022-11,MCANJREB9NFA97235,2BY1GS,VIC,04/08/2025,2.0,4.0,2.4,petrol,automatic,429630.0,km,Black,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050530/motor-vehicles-motor-cycles/2022-jeep-compass-s-limited-bg-9-auto-wagon-wovr-inspected,dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Parking Assist System, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 546",,,,Dents or marks on body consistent with age and kilometres.,referred,,
2010.0,hyundai,iload,tq van,van,3.0,2010-06,2010-09,KMFWBX7RLAU267896,XYV676,VIC,30-06-2025,2.0,4.0,2.4,petrol,manual,371081.0,km,White,Grey,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21050644/motor-vehicles-motor-cycles/2010-hyundai-iload-tq-manual-van,large dent on all around corrosion visible rear door medium scratch on all around airbag light on seat torn driver seat,"Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1267s (349660)",,,,Large Dent on All around Corrosion visible Rear door Medium Scratch on All around Airbag light ON Seat Torn Driver seat,referred,,
2015.0,jeep,grand,cherokee srt wk,wagon,5.0,2015-06,2015-08,1C4RJFHJ6FC902339,1FC1EB,VIC,28-02-2026,2.0,8.0,6.4,petrol,automatic,1905510.0,km,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050798/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-srt-wk-automatic-8-speed-wagon,dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Satellite Navigation System, Sunroof, N/I, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 443A (348665)",,,,Dents or marks on body consistent with age and kilometres.,referred,,
2009.0,audi,q7,4.2 tdi quattro,wagon,7.0,2009-01,2009-03,WAUZZZ4L59D033357,No plates,VIC,Unregistered,0.0,8.0,4.1,diesel,automatic,1981230.0,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050799/motor-vehicles-motor-cycles/2009-audi-q7-4-2-tdi-quattro-turbo-diesel-automatic-7-seats-wagon,dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Satellite Navigation System, Sunroof, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 452 (349797)",,,,Dents or marks on body consistent with age and kilometres.,referred,,
2013.0,ford,territory,titanium (4x4) sz,wagon,7.0,2013-11,2013-11,6FPAAAJGATDD50606,1AM7RZ,VIC,29-05-2026,2.0,6.0,2.7,diesel,automatic,1701580.0,km,Black,Black Leather,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21050937/motor-vehicles-motor-cycles/2013-ford-territory-titanium-4x4-sz-turbo-diesel-automatic-7-seats-wagon,front seat scratches both seats dents or marks on body consistent with age and kilometres. medium scratch on various along panel,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 221 (350016)",,,,Front Seat Scratches Both seats Dents or marks on body consistent with age and kilometres. Medium Scratch on Various along panel,referred,,
2007.0,toyota,hilux,sr (4x4) kun26r dual cab,cab chassis,5.0,2007-04,2007-05,MR0FZ22G901152344,No Plates,VIC,Unregistered,0.0,4.0,3,diesel,manual,260623.0,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050951/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,airbag light on seat torn front drivers & passenger seats. large dent on drivers side rear door. medium dent on drivers side rear guard. large dent on rear tailgate & corners of bumper. medium scratch on passenger side rear guard. large scratch on passenger side front bumper. dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 131B (343757)",,,,Airbag light ON Seat Torn Front Drivers & Passenger Seats. Large Dent on Drivers Side Rear Door. Medium Dent on Drivers Side rear guard. Large Dent on Rear Tailgate & Corners of Bumper. Medium Scratch on Passenger Side Rear Guard. Large Scratch on Passenger Side Front Bumper. Dents or marks on body consistent with age and kilometres.,referred,,
2011.0,toyota,hilux,sr (4x4) kun26r,dual cab,5.0,2011-03,2011-04,MR0FZ22G701049990,,VIC,Unregistered,0.0,4.0,3,diesel,manual,311875.0,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050952/motor-vehicles-motor-cycles/2011-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,seat torn drivers seat. large dent on passenger side front guard. large scratch on passenger side rear door &amp; rear guard. large dent on passenger side rear guard / bumper corner. medium dent on rear tailgate. large dent on drivers side rear guard / bumper corner. paint peeling bonnet. dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 2B",,,,Seat Torn Drivers Seat. Large Dent on Passenger Side Front Guard. Large Scratch on Passenger Side Rear Door &amp; Rear Guard. Large Dent on Passenger Side Rear Guard / Bumper Corner. Medium Dent on Rear Tailgate. Large Dent on Drivers Side Rear Guard / Bumper Corner. Paint peeling Bonnet. Dents or marks on body consistent with age and kilometres.,referred,,
2011.0,toyota,hilux,sr (4x4) kun26r,crew cab chassis,5.0,12-2010,01-2011,MR0FZ22G401044598,No plates,VIC,Unregistered,,4.0,3,diesel,manual,215962.0,km,White,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050953/motor-vehicles-motor-cycles/2011-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-crew-cab-chassis,large dent on multiple locations all of body medium dent on side steps both sides dents or marks on body consistent with age and kilometres. corrosion visible various locations damaged all exterior lights damaged seat torn all seats torn,"Air Conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary rd Truganina Vic 3029, Key No: 83B",,,,Large Dent on Multiple locations all of body Medium Dent on Side steps both sides Dents or marks on body consistent with age and kilometres. Corrosion visible Various locations Damaged All exterior lights damaged Seat Torn All seats torn,referred,,
2008.0,toyota,hilux,sr (4x4) kun26r,dual cab,5.0,2008-05,2008-05,MR0FZ22G701017928,no plates,VIC,Unregistered,0.0,4.0,3,diesel,manual,295514.0,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050954/motor-vehicles-motor-cycles/2008-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,medium dent on passenger side doors (both) medium scuff on passenger side rear door. seat torn front driver &amp;amp; passenger seats. paint peeling bonnet windscreen chipped or cracked. dents or marks on body consistent with age and kilometres. large dent on drivers side front guard & door,"Air Conditioning, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 119b (343683)",,,,Medium Dent on Passenger Side Doors (both) Medium Scuff on Passenger Side rear door. Seat Torn Front Driver &amp;amp; Passenger Seats. Paint peeling Bonnet Windscreen Chipped or Cracked. Dents or marks on body consistent with age and kilometres. Large Dent on Drivers side front guard & door,referred,,
2009.0,toyota,hilux,sr (4x4) kun26r,dual cab,5.0,10-2009,11-2009,MR0FZ22G501027843,No plates,VIC,Unregistered,,4.0,3,diesel,manual,287263.0,km,White,Grey,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21050955/motor-vehicles-motor-cycles/2009-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,airbag light on large dent on various locations corrosion visible various locations controls broken air conditioning controls broken,"Air conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary rd Truganina Vic 3029, Key No: 75B",,,,Airbag light ON Large Dent on Various locations Corrosion visible Various locations Controls Broken Air conditioning controls broken,referred,,
