year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric,drivetrain_source
2007,volvo,v50,2.4 s,wagon,automatic,petrol,146076,5.0,YV1MW385972321346,2BC2SQ,07/04/2025,5,2.4,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21043641/motor-vehicles-motor-cycles/2007-volvo-v50-2-4-s-automatic-wagon,dents or marks on body consistent with age and kilometres.,12,2222,2025-02-18,0,,,,,,
2006,volkswagen,golf,gti a5,hatchback,automatic,petrol,242256,5.0,WVWZZZ1KZ6U026640,1VW1UX,17-02-2025,4,2.0,Silver,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21043957/motor-vehicles-motor-cycles/2006-volkswagen-golf-gti-a5-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
paint peeling on the roof",26,2509,2025-02-20,0,,,,,,
2009,volkswagen,golf,103tdi comfortline a6,hatchback,automatic,diesel,205605,5.0,WVWZZZ1KZ9W479607,1UR2ZZ,29-07-2025,4,2.0,Silver,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044505/motor-vehicles-motor-cycles/2009-volkswagen-golf-103tdi-comfortline-a6-turbo-diesel-automatic-hatchback#&gid=1&pid=1,"dents or marks on body consistent with age and kilometres.
medium scratch on around the vehicle
other warning light on",44,3309,2025-02-27,0,,,,,,
2009,mercedes,benz,r-class r300 cdi w251,wagon,automatic,diesel,146011,7.0,WDC2510202A106796,1HE9RB,15-04-2025,6,3.0,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044399/motor-vehicles-motor-cycles/2009-mercedes-benz-r-class-r300-cdi-w251-turbo-diesel-auto-7-seats-wagon,dents or marks on body consistent with age and kilometres.,47,5400,2025-02-28,0,,,,,,
2017,land,rover,range rover sport 3.0 hse sdv6 (import),,automatic,diesel,81407,5.0,SALWA2EK5HA682434,No Plates,Unregistered,6,3.0,Grey,Black,Yes,Yes,Yes,Yes - Full Online Land Rover Service History,Yes,vic,https://www.grays.com/lot/0001-21044740/motor-vehicles-motor-cycles/2017-land-rover-range-rover-sport-3-0-hse-sdv6-turbo-diesel-auto-import,dents or marks on body consistent with age and kilometres.,572,38800,2025-03-05,0,,,,,,
2015,bmw,x1,sdrive18d f48,wagon,automatic,diesel,88908,5.0,WBAHT720705D98049,no plates,Unregistered,4,2.0,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044769/motor-vehicles-motor-cycles/2015-bmw-x1-sdrive18d-f48-turbo-diesel-automatic-8-speed-wagon,"medium scratch on rear passenger door
dents or marks on body consistent with age and kilometres.",201,18000,2025-03-06,0,,,,,,
2013,toyota,yaris,yr ncp130r,hatchback,manual,petrol,105487,5.0,JTDJW3D300D532446,DD22MN,Unregistered,4,1.3,Blue,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,"paint peeling roof, tailgate, tops of doors",46,3600,2025-03-09,0,,,,,,
2015,toyota,tarago,glx v6 gsr50r,people mover,automatic,petrol,64628,4.0,JTEGS54M70A013045,No plates,Unregistered,6,3.5,White,Black,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50711225/motor-vehicles-motor-cycles/2015-toyota-tarago-glx-v6-gsr50r-automatic-people-mover,dents or marks on body consistent with age and kilometres.,232,20300,2025-03-09,0,,,,,,
2006,toyota,landcruiser,(4x4) hzj79r,cab chassis,manual,diesel,177449,3.0,JTELB71J507056414,No plates,Unregistered,6,4.2,White,Grey,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50514152/motor-vehicles-motor-cycles/2006-toyota-landcruiser-4x4-hzj79r-manual-cab-chassis,"dents or marks on body consistent with age and kilometres.
odometer not working.
windscreen chipped or cracked.
carpet worn in places.",114,8110,2025-03-09,0,,,,,,
2006,lexus,is250,prestige,sedan,automatic,petrol,219917,5.0,JTHBK262005013839,UTD865,03-05-2025,6,2.5,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044847/motor-vehicles-motor-cycles/2006-lexus-is250-prestige-automatic-sedan,"engine noise observed.
large dent on rear fender, rear bumper knocked out of place
medium scratch on rear bumper, doors, front bumper
large dent on rhr door and quarter panel",13,1900,2025-03-09,0,,,,,,
2015,toyota,rav,4 fwd gx zsa42r,wagon,cvt,petrol,156946,5.0,JTMZDREV20D058754,1EW3RB,19-03-2025,4,2.0,Black,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044852/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,dents or marks on body consistent with age and kilometres.,105,12000,2025-03-09,0,,,,,,
2013,holden,trax,ls tj,wagon,manual,petrol,212522,5.0,KL3BF7659EB613531,No plates,Unregistered,4,1.8,Orange,Black,Yes,No,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50711137/motor-vehicles-motor-cycles/2013-holden-trax-ls-tj-manual-wagon,dents or marks on body consistent with age and kilometres.,40,3409,2025-03-09,0,,,,,,
2012,kia,rio,sli ub,hatchback,manual,petrol,317004,5.0,KNADN513LC6769581,No plates,Unregistered,4,1.6,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044884/motor-vehicles-motor-cycles/2012-kia-rio-sli-ub-manual-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on rear bumper
paint fading mirrors
door card worn.
airbag light on",12,1009,2025-03-09,0,,,,,,
2014,ford,ranger,xlt 4x4 px dual,dual cab,manual,diesel,235707,5.0,MNAUMFF50EW285165,No plates,Unregistered,5,3.2,White,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10910374/motor-vehicles-motor-cycles/2014-ford-ranger-xlt-4x4-px-turbo-diesel-manual-dual-cab,"dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
front seat worn drivers",123,9700,2025-03-09,0,,,,,,
2013,ford,focus,titanium lw ii,hatchback,automatic,petrol,205318,5.0,MPB1XXMXB1DP33886,YBO00J,Unregistered,4,2.0,Red,Black,Yes,No,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347470/motor-vehicles-motor-cycles/2013-ford-focus-titanium-lw-ii-automatic-hatchback,"engine light on
dents or marks on body consistent with age and kilometres.",70,5101,2025-03-09,0,,,,,,
2008,jaguar,xf,2.7d luxury,sedan,automatic,diesel,114617,5.0,SAJAC051X97R35593,WRH345,15-04-2025,6,2.7,Grey,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044815/motor-vehicles-motor-cycles/2008-jaguar-xf-2-7d-luxury-turbo-diesel-automatic-sedan,"dents or marks on body consistent with age and kilometres.
hood lining sagging
medium scratch on front bumper",101,9500,2025-03-09,0,,,,,,
2006,peugeot,407,hdi,coupe,automatic,diesel,88733,4.0,VF36JUHZJ21560561,AFW452,15-04-2025,6,2.7,Silver,Black Leather,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21044842/motor-vehicles-motor-cycles/2006-peugeot-407-hdi-turbo-diesel-automatic-coupe,"dents or marks on body consistent with age and kilometres.
paint fading various areas
dents or marks on body consistent with age and kilometres.",72,4700,2025-03-09,0,,,,,,
