year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,sale_price,time_remaining_or_date_sold
2006.0,Vespa,Granturismo,200L,,2,2006,Unable to locate,0000,No plates,,"Sold Unregistered, Without Plates",,1,0.2,Petrol,Automatic,34727,km,Black,Tan,Yes,No,No,No,No,NSW,https://www.grays.com/lot/0001-10348420/motor-vehicles-motor-cycles/2006-vespa-granturismo-200l,"Dents or marks on body consistent with age and kilometres.
Corrosion visible Various spots on body
Damaged Right Front Blinker
Engine not starting or running.","Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 517",,,2025-04-29,sold,6.0,$509,$509,
,Land,Cruiser,Manual Ute,,2,Unable to locate,Unable to locate,00000000000000000,No plates,WA,"Sold Unregistered, Without Plates",0.0,8,4.5,Turbo Diesel,Manual,0,km,White,Grey,Yes,No,No,No,No,WA,https://www.grays.com/lot/0001-9061463/motor-vehicles-motor-cycles/toyota-land-cruiser-manual-ute,"Flat Battery. Jump start or towing required
Body/panel damage Door panels
Dents or marks on body consistent with age and kilometres.
Large Dent on Body
Seat Torn Both
Front Seat worn All around
Glovebox Would not Open/Close
Door card Missing.
Medium Scuff on Body","Bull Bar, Power Steering, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: TB19, VI080524214016982",,,2025-07-15,sold,52.0,"$4,650","$4,650",
2014.0,Thumpstar,TSX125,Motorcycle,,,,,0M0W1251140806561,,,,,,,,,,km,,,No,No,,No,No,,https://www.grays.com/lot/0001-9059275/motor-vehicles-motor-cycles/2014-thumpstar-tsx125-motorcycle,,,,,2025-05-06,sold,8.0,$520,$520,
1979.0,Mercedes,450,SLC Automatic Coupe,,4,1979,Unable to locate,10702422028513,,,"Sold Unregistered, Without Plates",,8,4.5,Petrol,Automatic,321302,km,Mint,Beige Leather,Yes,No,No,No,No,SA,https://www.grays.com/lot/0001-60048599/motor-vehicles-motor-cycles/1979-mercedes-450-slc-automatic-coupe,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Location: 3 Maxwell Road, Pooraka, SA, 5095, Key No: FY20",,,2025-08-13,sold,49.0,"$3,300","$3,300",
1974.0,Mercedes,280,SE Automatic Sedan,,5,1974,1974-03,116024 22 022533,No plates,QLD,"Sold Unregistered, Without Plates",0.0,6,2,Petrol,Automatic - 4 Speed,457342,km,White,Brown Leather,No,No,No,No,No,WA,https://www.grays.com/lot/0001-9062219/motor-vehicles-motor-cycles/1974-mercedes-280-se-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 17D",,,2025-08-05,sold,10.0,$800,$800,
1982.0,Mercedes,280,Automatic Sedan,,5,Unable to locate,1982 - 12,12303322096983,,,"Sold Unregistered, Without Plates",,6,2.8,Petrol,Automatic,266140,km,Cream,Other,Yes,Yes,No,No,No,SA,https://www.grays.com/lot/0001-60048598/motor-vehicles-motor-cycles/1982-mercedes-280-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Location: 3 Maxwell Road, Pooraka, SA, 5095, Key No: FY19",,,2025-08-13,sold,9.0,$709,$709,
1979.0,Mercedes-Benz,280CE,Automatic Sedan,,5.0,Unable to locate,1979-12,12305322014492,GP280,"Vi, C","Sold Unregistered, Without Plates - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.",2.0,6,2.8,Petrol,Automatic,356923,km,Blue,Blue,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21058315/motor-vehicles-motor-cycles/1979-mercedes-benz-280ce-automatic-sedan,"Door card Damaged.
Dash Torn or Cracked
Hood Lining Sagging
Corrosion visible Various locations
Dents or marks on body consistent with age and kilometres.
Damaged LHR tail light cracked
Marks in boot
Drivers Seat worn
Paint fading various locations","CD Player, Electric Windows, Leather trim, Power Steering, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 410 (361608)",,,,sold,55.0,4409.0,4409.0,
1981.0,Mercedes,230,E Automatic Sedan,,5,1981-11,1981-11,12322322077736,,,"Sold Unregistered, Without Plates",,4,2.3,Petrol,Automatic - 4 Speed,250555,km,Yellow,Multi,Yes,No,No,No,No,SA,https://www.grays.com/lot/0001-60048597/motor-vehicles-motor-cycles/1981-mercedes-230-e-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Heating and Cooling (interior climate control), Cassette player, Sunroof, Location: 3 Maxwell Road, Pooraka, SA, 5095, Key No: FY21",,,2025-08-13,sold,3.0,$209,$209,
2011.0,Ford,Focus,Manual Hatchback,,5,2011,Unable to locate,12345678912345678,1IKU721,WA,"Sold Unregistered, Without Plates",0.0,4,2,Petrol,Manual,Unknown (Unable to read),km,Silver,Black,No,No,No,No,No,WA,https://www.grays.com/lot/0001-9058977/motor-vehicles-motor-cycles/2011-ford-focus-manual-hatchback,"Medium Scratch on Sides of vehicle
Body/panel damage Passenger rear door
Medium Scuff on Rear bar
Body/panel damage Rear tail light smashed
Body/panel damage Drivers door and front guard damaged
Medium Scuff on Front bar
Body/panel damage Left side door seals damages","Air conditioning, CD player, Central locking, Driver airbags, Electric windows, Power steering, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: No key",,,2025-04-30,sold,2.0,$109,$109,
1978.0,Suzuki,LJ50,Manual Wagon,,2,Unable to locate,1978-01,130471,No plates,,"Sold Unregistered, Without Plates",,4,1.3,Petrol,Manual - 5 Speed,42916,km,Yellow,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10350235/motor-vehicles-motor-cycles/1978-suzuki-lj50-manual-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Bull bar, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 129",,,2025-09-01,sold,24.0,"$1,210","$1,210",
