year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition
2012,TOYOTA,Noah,Import Van,,Automatic,Petrol,127182,7,6U900ZRR700475779,DH57LO,20-01-2026. Registration will only be transferred to the registered bidder who must hold a valid NSW Drivers Licence otherwise vehicle will be sold unregistered.,4,2,Grey,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10351953/motor-vehicles-motor-cycles/2012-toyota-noah-import-automatic-7-seats-van-pinkslip-issued-10-12-2025,"Large Dent on Driver side sliding door and rear quarter panel
Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres."
2021,LDV,T60,PRO,Dual Cab,Automatic,Diesel,60397,5,LSFAM11A5MA143718,DC01SQ,"Sold Unregistered, Without Plates",4,2.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352012/motor-vehicles-motor-cycles/2021-ldv-t60-pro-turbo-diesel-automatic-dual-cab,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2021,LDV,T60,PRO,Dual Cab,Automatic,Diesel,24434,5,LSFAM11A2MA063969,DB30PG,"Sold Unregistered, Without Plates",4,2.8,Grey,Black,Yes,No,No,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352013/motor-vehicles-motor-cycles/2021-ldv-t60-pro-turbo-diesel-automatic-dual-cab,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2012,LAND,Rover,Freelander 2 SD4 HSE,Wagon,Automatic,Diesel,193780,5,SALFA2AD7DH327421,AQ888,"Sold Unregistered, Without Plates",4,2.2,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352099/motor-vehicles-motor-cycles/2012-land-rover-freelander-2-sd4-hse-turbo-diesel-automatic-wagon,"Steering requires attention.
Front Seat worn Drivers seat
Medium Scratch on Front bumper
Large Scratch on Rear bar
Other Warning light ON"
2016,VOLKSWAGEN,Tiguan,110TSI COMFORTLINE MK2,Wagon,Automatic,Petrol,117578,5,WVGZZZ5NZHW333529,ECO15W,"Sold Unregistered, Without Plates",4,1.4,Grey,Black,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352100/motor-vehicles-motor-cycles/2016-volkswagen-tiguan-110tsi-comfortline-mk2-automatic-wagon,Medium Scratch on Rear bar
2013,MERCEDES,Benz,A45 A45 AMG W176 7,Hatchback,Automatic,Petrol,116023,5,WDD1760522J182322,EGL14L,"Sold Unregistered, Without Plates",4,2,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352101/motor-vehicles-motor-cycles/2013-mercedes-benz-a45-a45-amg-w176-7-auto-hatchback,"Front Seat worn Drivers seat
Large Scratch on Front bar"
2005,JAGUAR,X,type,Sedan,Automatic,Petrol,133090,5,SAJAC51L46WE76862,BAS54J,"Sold Unregistered, Without Plates",6,3,Grey,Tan,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352103/motor-vehicles-motor-cycles/2005-jaguar-x-type-automatic-sedan,Engine light ON
2012,MAZDA,Bt-50,4X4 GT,Dual Cab,Automatic,Diesel,272946,5,MM0UP0YF100107031,YZD734,"Sold Unregistered, Without Plates",5,3.2,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352104/motor-vehicles-motor-cycles/2012-mazda-bt-50-4x4-gt-turbo-diesel-automatic-dual-cab,"Engine noise observed.
Seat Torn Drivers seat
Paint fading On various panels
Large Dent on Drivers guard
Windscreen Chipped or Cracked.
Large Dent on Drivers rear quarter panel"
2013,DODGE,Journey,SXT,People Mover,Automatic,Petrol,80997,7,3C4PDCJG3DT686592,ZYJ355,"Sold Unregistered, Without Plates",6,3.6,Grey,Grey,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352111/motor-vehicles-motor-cycles/2013-dodge-journey-sxt-automatic-7-seats-people-mover,"Other Warning light ON
Engine noise observed.
Medium Dent on Drivers and passengers front doors
Damaged Passenger rear tail gate light"
2018,LAND,Rover,Range Rover Evoque TD4 SE 110KW T,Wagon,Automatic,Diesel,72527,5,SALVA2AN5JH300315,NBZ12M,"Sold Unregistered, Without Plates",4,2,White,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352112/motor-vehicles-motor-cycles/2018-land-rover-range-rover-evoque-td4-se-110kw-t-diesel-9-auto-72-527kms,"Large Scratch on Front bumper bar
Engine noise observed.
Front Seat worn driver side"
2012,MITSUBISHI,Lancer,,Sedan,Manual,Petrol,217614,5,JMFSNCY4ACU002643,BR51NR,"26-08-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2,Blue,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352119/motor-vehicles-motor-cycles/2012-mitsubishi-lancer-manual-sedan,"Hail damage visible.
Paint fading Boot spoiler
Front and rear Cracked bumper.
Large Dent on Driver side front guard
Large Scratch on Sill skirts
Damaged Driver side rear bar reflector
Seat Torn Drivers seat
Controls Broken Drivers power window regulator broken
Airbag light ON
Front Seat Stains drivers"
