model_norm,make,model,variant,series,badge,body_type,transmission,fuel_type,drivetrain,title,url
camry,TOYOTA,Camry,ASCENT HYBRID AXVH71R,,,Sedan,Automatic,Hybrid,,,https://www.grays.com/lot/0001-60048765/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan
camry,TOYOTA,Camry,ASCENT HYBRID AXVH71R,,,Sedan,Automatic,Hybrid,,,https://www.grays.com/lot/0001-60048860/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan
camry,TOYOTA,Camry,Ascent ASV70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-50712769/motor-vehicles-motor-cycles/2020-toyota-camry-ascent-asv70r-automatic-sedan
camry,TOYOTA,Camry,Ascent ASV70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-50712675/motor-vehicles-motor-cycles/2020-toyota-camry-ascent-asv70r-automatic-sedan
camry,TOYOTA,Camry,ASCENT SPORT HYBRID AXVH70R,,,Sedan,CVT,Hybrid,,,https://www.grays.com/lot/0001-50713447/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-sport-hybrid-axvh70r-cvt-sedan
camry,TOYOTA,Camry,Ascent ASV70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-10351451/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-asv70r-automatic-sedan
camry,TOYOTA,Camry,SX ASV70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-21059438/motor-vehicles-motor-cycles/2018-toyota-camry-sx-asv70r-automatic-sedan
camry,TOYOTA,Camry,Ascent AXVA70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-10351477/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-axva70r-automatic-8-speed-sedan
camry,TOYOTA,Camry,Ascent ASV70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-10351660/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-asv70r-automatic-sedan
camry,TOYOTA,Camry,Ascent AXVA70R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-50712039/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-axva70r-automatic-8-speed-sedan
corolla,TOYOTA,Corolla,LEVIN SX ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-50517392/motor-vehicles-motor-cycles/2015-toyota-corolla-levin-sx-zre182r-cvt-hatchback
corolla,TOYOTA,Corolla,Ascent ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-21055694/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback
corolla,TOYOTA,Corolla,Ascent Sport ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-50516660/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-sport-zre182r-cvt-hatchback
corolla,TOYOTA,Corolla,Ascent ZRE172R,,,Sedan,CVT,Petrol,,,https://www.grays.com/lot/0001-9065980/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-cvt-sedan
corolla,TOYOTA,Corolla,Ascent Sport ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-21057818/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-sport-zre182r-cvt-hatchback
corolla,TOYOTA,Corolla,Ascent ZRE172R,,,Sedan,CVT,Petrol,,,https://www.grays.com/lot/0001-9065978/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre172r-cvt-sedan
corolla,TOYOTA,Corolla,Ascent ZRE152R,,,Sedan,Automatic,Petrol,,,https://www.grays.com/lot/0001-50713434/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan
corolla,TOYOTA,Corolla,LEVIN ZR ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-21058464/motor-vehicles-motor-cycles/2013-toyota-corolla-levin-zr-zre182r-cvt-hatchback
corolla,TOYOTA,Corolla,Ascent ZRE182R,,,Hatchback,CVT,Petrol,,,https://www.grays.com/lot/0001-21058578/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback
