year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric
2013,TOYOTA,Yaris,YR NCP130R,Hatchback,Manual,Petrol,105487,5.0,JTDJW3D300D532446,DD22MN,Unregistered,4,1.3,Blue,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,"Paint peeling Roof, tailgate, tops of doors",46,3600,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2015,TOYOTA,Tarago,GLX V6 GSR50R,People Mover,Automatic,Petrol,64628,4.0,JTEGS54M70A013045,No plates,Unregistered,6,3.5,White,Black,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50711225/motor-vehicles-motor-cycles/2015-toyota-tarago-glx-v6-gsr50r-automatic-people-mover,Dents or marks on body consistent with age and kilometres.,232,20300,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Landcruiser,(4x4) HZJ79R,Cab Chassis,Manual,Diesel,177449,3.0,JTELB71J507056414,No plates,Unregistered,6,4.2,White,Grey,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50514152/motor-vehicles-motor-cycles/2006-toyota-landcruiser-4x4-hzj79r-manual-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Odometer Not Working.
Windscreen Chipped or Cracked.
Carpet worn in places.",114,8110,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2015,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,CVT,Petrol,156946,5.0,JTMZDREV20D058754,1EW3RB,19-03-2025,4,2.0,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044852/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,Dents or marks on body consistent with age and kilometres.,105,12000,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2014,TOYOTA,Kluger,4X2 GXL GSU50R,Wagon,Automatic,Petrol,159374,7.0,5TDZK3FH30S019218,2BT6TO,24-04-2025,6,3.5,Red,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044717/motor-vehicles-motor-cycles/2014-toyota-kluger-4x2-gxl-gsu50r-automatic-7-seats-wagon,Dents or marks on body consistent with age and kilometres.,240,15000,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Camry,Grande MCV36R,Sedan,Automatic,Petrol,121630,5.0,6T153XK360X315587,UVW999,14-06-2025,6,3.0,Silver,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044844/motor-vehicles-motor-cycles/2005-toyota-camry-grande-mcv36r-automatic-sedan,"Paint fading Panel
Dents or marks on body consistent with age and kilometres.
Large Scuff on Panel
Large Scratch on Panel",47,2809,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Camry,ATARA S HYBRID AVV50R,Sedan,CVT,Hybrid,257644,5.0,6T1BD3FK70X157975,1SR7KJ,30-07-2025,4,2.5,White,Black,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044802/motor-vehicles-motor-cycles/2017-toyota-camry-atara-s-hybrid-avv50r-cvt-sedan,"Medium Scratch on rear bumper
Paint cracked front bumper
Dents or marks on body consistent with age and kilometres.
Medium Scuff on Rear Passenger Door",88,11700,2025-03-09,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Corolla,Ascent ZZE123R,Sedan,Automatic,Petrol,198420,5.0,JTDBR23E803149904,1PU6SB,14-10-2025,4,1.8,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044995/motor-vehicles-motor-cycles/2005-toyota-corolla-ascent-zze123r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Dent Medium Front Passenger Guard
Medium Scuff on Scuff on Passenger Side
Large Dent on Rear Bumper",20,3400,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2004,TOYOTA,Celica,SX ZZT231,Hatchback,Automatic,Petrol,191032,4.0,JTDDY32T300073740,AQY67F,Unregistered,4,1.8,Red,Grey,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347610/motor-vehicles-motor-cycles/2004-toyota-celica-sx-zzt231-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint fading And peeling on numerous panels
Body/panel damage Roof, front end
Front and rear Cracked bumper.
Engine noise observed.",4,1200,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Automatic,Petrol,249686,5.0,JTDKR22EX00277127,No plates,Unregistered,4,1.8,Blue,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045016/motor-vehicles-motor-cycles/2006-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint cracked Rear panel
Large Scuff on Rear bumper",33,3100,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
