url,year,make,model,variant,body_type,fuel_type,transmission,badge_raw,drivetrain_raw,strict_group,strict_reason
https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,2013,TOYOTA,Yaris,YR NCP130R,Hatchback,Petrol,Manual,yr,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50711225/motor-vehicles-motor-cycles/2015-toyota-tarago-glx-v6-gsr50r-automatic-people-mover,2015,TOYOTA,Tarago,GLX V6 GSR50R,People Mover,Petrol,Automatic,glx v6,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50514152/motor-vehicles-motor-cycles/2006-toyota-landcruiser-4x4-hzj79r-manual-cab-chassis,2006,TOYOTA,Landcruiser,(4x4) HZJ79R,Cab Chassis,Diesel,Manual,4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21044852/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,2015,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,Petrol,CVT,fwd gx,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21044717/motor-vehicles-motor-cycles/2014-toyota-kluger-4x2-gxl-gsu50r-automatic-7-seats-wagon,2014,TOYOTA,Kluger,4X2 GXL GSU50R,Wagon,Petrol,Automatic,4x2 gxl,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21044844/motor-vehicles-motor-cycles/2005-toyota-camry-grande-mcv36r-automatic-sedan,2005,TOYOTA,Camry,Grande MCV36R,Sedan,Petrol,Automatic,grande,,,NO_MATCH
https://www.grays.com/lot/0001-21044802/motor-vehicles-motor-cycles/2017-toyota-camry-atara-s-hybrid-avv50r-cvt-sedan,2017,TOYOTA,Camry,ATARA S HYBRID AVV50R,Sedan,Hybrid,CVT,atara s,,,NO_MATCH
https://www.grays.com/lot/0001-21044995/motor-vehicles-motor-cycles/2005-toyota-corolla-ascent-zze123r-automatic-sedan,2005,TOYOTA,Corolla,Ascent ZZE123R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-10347610/motor-vehicles-motor-cycles/2004-toyota-celica-sx-zzt231-automatic-hatchback,2004,TOYOTA,Celica,SX ZZT231,Hatchback,Petrol,Automatic,sx,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21045016/motor-vehicles-motor-cycles/2006-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,2006,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Petrol,Automatic,ascent seca,,,NO_MATCH
https://www.grays.com/lot/0001-9057546/motor-vehicles-motor-cycles/2018-toyota-yaris-ascent-ncp130r-manual-hatchback,2018,TOYOTA,Yaris,Ascent NCP130R,Hatchback,Petrol,Manual,ascent,,,OUT_OF_SCOPE_MODEL
