year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,sale_price
2010,NISSAN,X-trail,ST-L 2WD T31,Wagon,CVT,Petrol,258671.0,5.0,JN1TBAT31A0000802,1IRL535,26-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,4,2,White,Black Leather,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9062575/motor-vehicles-motor-cycles/2010-nissan-x-trail-st-l-2wd-t31-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on rear passenger side
Front Seat worn Drivers",37.0,"$2,300",13 August 2025,"$2,300"
2011,NISSAN,X-trail,ST (FWD) T31,Wagon,CVT,Petrol,300667.0,5.0,JN1TBAT31A0004538,1DUF503,06-12-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,4,2,White,Charcoal,Yes,No,Yes,No,Yes,WA,https://www.grays.com/lot/0001-9062853/motor-vehicles-motor-cycles/2011-nissan-x-trail-st-fwd-t31-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Airbag light ON
Engine lacks power
Front Seat Stains both
Large Dent on front bumper
Medium Scuff on front bumper
Medium Dent on front passenger quarter panel
Medium Scratch on rear passenger door
rear Cracked bumper.
Carpet worn in places.
Windscreen Chipped or Cracked.
Back Seat Stains.",12.0,$609,26 August 2025,$609
2011,NISSAN,X-trail,ST 2WD T31,Wagon,CVT,Petrol,263129.0,5.0,JN1TBAT31A0005583,YVV966,15-10-2025 -,4,2,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21058052/motor-vehicles-motor-cycles/2011-nissan-x-trail-st-2wd-t31-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Around vehicle
Front Seat worn Driver seat",32.0,"$2,800",19 October 2025,"$2,800"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,CVT,Petrol,227822.0,5.0,JN1TBAT31A0006348,1DXZ485,05-04-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,4,2,White,Black,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058533/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-cvt-wagon,"Engine noise observed.
Medium Scratch on Rear Bumper
Seat Torn driver",24.0,"$2,309",09 April 2025,"$2,309"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,CVT,Petrol,173655.0,5.0,JN1TBAT31A0006393,No plates,"Sold Unregistered, Without Plates",4,2,Silver,Multi,Yes,No,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60047591/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-cvt-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,39.0,"$6,900",09 April 2025,"$6,900"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,CVT,Petrol,230022.0,5.0,JN1TBAT31A0100490,YVA717,16-05-2025 -,4,2,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21047213/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-cvt-wagon,Dents or marks on body consistent with age and kilometres.,66.0,"$4,809",15 April 2025,"$4,809"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,Manual,Petrol,187703.0,5.0,JN1TBAT31A0101279,1HFL025,26-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,4,2,White,Charcoal,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9062154/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-manual-wagon,"Engine idling rough
Dents or marks on body consistent with age and kilometres.
Large Scratch on along passenger side
Front Seat Stains various",15.0,"$1,650",30 July 2025,"$1,650"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,Manual,Petrol,354548.0,7.0,JN1TBAT31A0101352,1EAF388,03-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,4,2,Gold,Black,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9063032/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-manual-7-seats-wagon,"Damaged Front left light
Dents or marks on body consistent with age and kilometres.
Front Seat worn All
Carpet worn in places.
Door card Worn.",15.0,"$1,110",28 August 2025,"$1,110"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,CVT,Petrol,272198.0,5.0,JN1TBAT31A0102681,2BX1IY,29-05-2025 -,4,2,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21048745/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-cvt-wagon,Dents or marks on body consistent with age and kilometres.,25.0,"$2,500",15 May 2025,"$2,500"
2012,NISSAN,X-trail,ST (FWD) T31,Wagon,Automatic,Petrol,214639.0,5.0,JN1TBAT31A0103323,ZNE308,18-02-2026 -,4,2,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21053260/motor-vehicles-motor-cycles/2012-nissan-x-trail-st-fwd-t31-automatic-wagon,"Medium Scuff on Various parts on panels
Dents or marks on body consistent with age and kilometres.",41.0,"$4,350",28 July 2025,"$4,350"
