year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location_x,url,general_condition,bids,price,date_sold,sale_price,manual_carsales_min,manual_carsales_max,manual_carsales_avg,manual_carsales_sold_30d,manual_recent_sales_30d,manual_carsales_count,manual_carsales_table,manual_carsales_estimate,carsales_skipped,general_condition_norm,condition_clean,defects_only,repair_tags,repair_severity,decision_condition_only,estimated_parts_cost_aud,parts_cost_basis,sale_price_value,odometer_numeric,bids_final,location_state,tag_engine_mechanical,tag_electrical,tag_non_operational,tag_suspension_brakes,tag_interior,tag_body_exterior,tag_tyres_wheels,tag_general_wear,tag_unknown_untested,total_repair_tags,date_sold_parsed,vehicle_year_numeric,vehicle_age_years,odometer_per_year,snapshot_ts,price_text,snapshot_price_numeric,snapshot_bids_numeric,time_remaining_text,snapshot_time_remaining_hours,snapshot_status,location_y,snapshot_location_state,auction_site,snapshot_hours_to_close,comps_p50,comps_p90,comps_count,comps_confidence,comps_error
2007,VOLVO,V50,2.4 S,Wagon,Automatic,Petrol,146076,5.0,YV1MW385972321346,2BC2SQ,07/04/2025 -,5,2.4,Grey,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21043641/motor-vehicles-motor-cycles/2007-volvo-v50-2-4-s-automatic-wagon,Dents or marks on body consistent with age and kilometres.,12.0,"$2,222",18 February 2025,"$2,222",,,,,,,,,,Dents or marks on body consistent with age and kilometres.,Dents or marks on body and kilometres.,Dents or marks on body and kilometres,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",2222.0,146076.0,12.0,VIC,0,0,0,0,0,1,0,0,0,1,2025-02-18,2007.0,18.0,8115.333333333333,,,,,,,,,,,,,,0.0,0.0,
2006,VOLKSWAGEN,Golf,GTI A5,Hatchback,Automatic,Petrol,242256,5.0,WVWZZZ1KZ6U026640,1VW1UX,17-02-2025 -,4,2,Silver,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21043957/motor-vehicles-motor-cycles/2006-volkswagen-golf-gti-a5-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Paint peeling On the roof",26.0,"$2,509",20 February 2025,"$2,509",,,,,,,,,,Dents or marks on body consistent with age and kilometres. Dents or marks on body consistent with age and kilometres. Paint peeling On the roof,Dents or marks on body and kilometres. Dents or marks on body and kilometres. Paint peeling On the roof,Dents or marks on body and kilometres; Dents or marks on body and kilometres; Paint peeling On the roof,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",2509.0,242256.0,26.0,VIC,0,0,0,0,0,1,0,0,0,1,2025-02-20,2006.0,19.0,12750.315789473685,,,,,,,,,,,,,,0.0,0.0,
2009,VOLKSWAGEN,Golf,103TDI Comfortline A6,Hatchback,Automatic,Diesel,205605,5.0,WVWZZZ1KZ9W479607,1UR2ZZ,29-07-2025 -,4,2,Silver,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044505/motor-vehicles-motor-cycles/2009-volkswagen-golf-103tdi-comfortline-a6-turbo-diesel-automatic-hatchback#&gid=1&pid=1,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the vehicle
Other Warning light ON",44.0,"$3,309",27 February 2025,"$3,309",,,,,,,,,,Dents or marks on body consistent with age and kilometres. Medium Scratch on Around the vehicle Other Warning light ON,Dents or marks on body and kilometres. Medium Scratch on Around the vehicle Other Warning light ON,Dents or marks on body and kilometres; Medium Scratch on Around the vehicle Other Warning light ON,"[""electrical"", ""body_exterior""]",35.0,AVOID (condition),123.75,"[{""tag"": ""electrical"", ""base_cost"": 44.0, ""tier"": ""high"", ""multiplier"": 1.5}, {""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""high"", ""multiplier"": 1.5}]",3309.0,205605.0,44.0,VIC,0,1,0,0,0,1,0,0,0,2,2025-02-27,2009.0,16.0,12850.3125,,,,,,,,,,,,3235.228,3235.228,1.0,0.3175,73.77199999999993
2009,MERCEDES,Benz,R-Class R300 CDI W251,Wagon,Automatic,Diesel,146011,7.0,WDC2510202A106796,1HE9RB,15-04-2025 -,6,3,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044399/motor-vehicles-motor-cycles/2009-mercedes-benz-r-class-r300-cdi-w251-turbo-diesel-auto-7-seats-wagon,Dents or marks on body consistent with age and kilometres.,47.0,"$5,400",28 February 2025,"$5,400",,,,,,,,,,Dents or marks on body consistent with age and kilometres.,Dents or marks on body and kilometres.,Dents or marks on body and kilometres,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",5400.0,146011.0,47.0,VIC,0,0,0,0,0,1,0,0,0,1,2025-02-28,2009.0,16.0,9125.6875,,,,,,,,,,,,,,0.0,0.0,
2017,LAND,Rover,Range Rover Sport 3.0 HSE SDV6 (IMPORT),,Automatic,Diesel,81407,5.0,SALWA2EK5HA682434,No Plates,"Sold Unregistered, Without Plates",6,3,Grey,Black,Yes,Yes,Yes,Yes - Full Online Land Rover Service History,Yes,VIC,https://www.grays.com/lot/0001-21044740/motor-vehicles-motor-cycles/2017-land-rover-range-rover-sport-3-0-hse-sdv6-turbo-diesel-auto-import,Dents or marks on body consistent with age and kilometres.,572.0,"$38,800",05 March 2025,"$38,800",,,,,,,,,,Dents or marks on body consistent with age and kilometres.,Dents or marks on body and kilometres.,Dents or marks on body and kilometres,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",38800.0,81407.0,572.0,VIC,0,0,0,0,0,1,0,0,0,1,2025-03-05,2017.0,8.0,10175.875,,,,,,,,,,,,,,0.0,0.0,
2015,BMW,X1,sDrive18d F48,Wagon,Automatic,Diesel,88908,5.0,WBAHT720705D98049,no plates,"Sold Unregistered, Without Plates",4,2,White,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044769/motor-vehicles-motor-cycles/2015-bmw-x1-sdrive18d-f48-turbo-diesel-automatic-8-speed-wagon,"Medium Scratch on rear passenger door
Dents or marks on body consistent with age and kilometres.",201.0,"$18,000",06 March 2025,"$18,000",,,,,,,,,,Medium Scratch on rear passenger door Dents or marks on body consistent with age and kilometres.,Medium Scratch on rear passenger door Dents or marks on body and kilometres.,Medium Scratch on rear passenger door Dents or marks on body and kilometres,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",18000.0,88908.0,201.0,VIC,0,0,0,0,0,1,0,0,0,1,2025-03-06,2015.0,10.0,8890.8,,,,,,,,,,,,,,0.0,0.0,
2013,TOYOTA,Yaris,YR NCP130R,Hatchback,Manual,Petrol,105487,5.0,JTDJW3D300D532446,DD22MN,"Sold Unregistered, Without Plates",4,1.3,Blue,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,"Paint peeling Roof, tailgate, tops of doors",46.0,"$3,600",09 March 2025,"$3,600",,,,,,,,,,"Paint peeling Roof, tailgate, tops of doors","Paint peeling Roof, tailgate, tops of doors","Paint peeling Roof, tailgate, tops of doors","[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",3600.0,105487.0,46.0,NSW,0,0,0,0,0,1,0,0,0,1,2025-03-09,2013.0,12.0,8790.583333333334,,,,,,,,,,,,,,0.0,0.0,
2015,TOYOTA,Tarago,GLX V6 GSR50R,People Mover,Automatic,Petrol,64628,4.0,JTEGS54M70A013045,No plates,"Sold Unregistered, Without Plates",6,3.5,White,Black,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50711225/motor-vehicles-motor-cycles/2015-toyota-tarago-glx-v6-gsr50r-automatic-people-mover,Dents or marks on body consistent with age and kilometres.,232.0,"$20,300",09 March 2025,"$20,300",,,,,,,,,,Dents or marks on body consistent with age and kilometres.,Dents or marks on body and kilometres.,Dents or marks on body and kilometres,"[""body_exterior""]",5.0,BUY (condition),23.1,"[{""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""low"", ""multiplier"": 0.6}]",20300.0,64628.0,232.0,QLD,0,0,0,0,0,1,0,0,0,1,2025-03-09,2015.0,10.0,6462.8,,,,,,,,,,,,,,0.0,0.0,
2006,TOYOTA,Landcruiser,(4x4) HZJ79R,Cab Chassis,Manual,Diesel,177449,3.0,JTELB71J507056414,No plates,"Sold Unregistered, Without Plates",6,4.2,White,Grey,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50514152/motor-vehicles-motor-cycles/2006-toyota-landcruiser-4x4-hzj79r-manual-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Odometer Not Working.
Windscreen Chipped or Cracked.
Carpet worn in places.",114.0,"$8,110",09 March 2025,"$8,110",,,,,,,,,,Dents or marks on body consistent with age and kilometres. Odometer Not Working. Windscreen Chipped or Cracked. Carpet worn in places.,Dents or marks on body and kilometres. Odometer Not Working. Windscreen Chipped or Cracked. Carpet worn in places.,Dents or marks on body and kilometres; Windscreen Chipped or Cracked; Carpet worn in places,"[""interior"", ""body_exterior""]",15.0,BUY (condition),71.5,"[{""tag"": ""interior"", ""base_cost"": 33.0, ""tier"": ""mid"", ""multiplier"": 1.0}, {""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""mid"", ""multiplier"": 1.0}]",8110.0,177449.0,114.0,QLD,0,0,0,0,1,1,0,0,0,2,2025-03-09,2006.0,19.0,9339.421052631578,,,,,,,,,,,,,,0.0,0.0,
2006,LEXUS,Is250,Prestige,Sedan,Automatic,Petrol,219917,5.0,JTHBK262005013839,UTD865,03-05-2025 -,6,2.5,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044847/motor-vehicles-motor-cycles/2006-lexus-is250-prestige-automatic-sedan,"Engine noise observed.
Large Dent on rear fender, rear bumper knocked out of place
Medium Scratch on rear bumper, doors, front bumper
Large Dent on RHR Door and quarter panel",13.0,"$1,900",09 March 2025,"$1,900",,,,,,,,,,"Engine noise observed. Large Dent on rear fender, rear bumper knocked out of place Medium Scratch on rear bumper, doors, front bumper Large Dent on RHR Door and quarter panel","Engine noise observed. Large Dent on rear fender, rear bumper knocked out of place Medium Scratch on rear bumper, doors, front bumper Large Dent on RHR Door and quarter panel","Engine noise observed; Large Dent on rear fender, rear bumper knocked out of place Medium Scratch on rear bumper, doors, front bumper Large Dent on RHR Door and quarter panel","[""engine_mechanical"", ""body_exterior""]",45.0,AVOID (condition),132.0,"[{""tag"": ""engine_mechanical"", ""base_cost"": 49.5, ""tier"": ""high"", ""multiplier"": 1.5}, {""tag"": ""body_exterior"", ""base_cost"": 38.5, ""tier"": ""high"", ""multiplier"": 1.5}]",1900.0,219917.0,13.0,VIC,1,0,0,0,0,1,0,0,0,2,2025-03-09,2006.0,19.0,11574.578947368422,,,,,,,,,,,,,,0.0,0.0,
