part,pick_price,warranty_price,core_deposit,models_2008_on
A,A,A,A,A
ABS Module and Pump,$125,$150,,P.O.A
ABS Brake Sensor,$25,$30,,P.O.A
ABS Computer,$50,$60,,P.O.A
ABS Module,$85,$102,,P.O.A
Actuator (Central Locking),$30,$36,,P.O.A
Actuator Boot,$15,$18,,P.O.A
Aerial Electric,$20,$24,,P.O.A
Aerial Manual,$10,$12,,P.O.A
Air Bag,$40,$48,,P.O.A
Air Bag Clock Spring,$45,$54,,P.O.A
Air Suspension Unit 4×4,$110,$132,,P.O.A
Air Filter Box Assy,$55,$66,,P.O.A
Air Filter Box Top,$35,$42,,P.O.A
Air Filter Box Base,$20,$24,,P.O.A
Air Box Filter Element,$5,$6,,P.O.A
Air Conditioning Bracket,$30,$36,,P.O.A
Air Conditioning Kit Complete,$200,$240,,P.O.A
Air Conditioning Compressor,$95,$114,,P.O.A
Air Conditioning Condensor,$50,$60,,P.O.A
Air Con Switch,$35,$42,,P.O.A
Air Con Switch W/ Climate Control,$65,$78,,P.O.A
Air Conditioning Evaporator,$40,$48,,P.O.A
Air Con Fan Single,$35,$42,,P.O.A
Air Con Fan Twin Assy with Cowling,$55,$66,,P.O.A
Air Con Line,$20,$24,,P.O.A
Air Con Receiver Dryer,$20,$24,,P.O.A
Air Flow Meter,$45,$54,,P.O.A
Alternator,$65,$78,$5,P.O.A
Alternator 4WD/ Commercial,$85,$102,$5,P.O.A
Alternator Bracket Large Alloy,$40,$48,,P.O.A
Alternator Bracket Small,$20,$24,,P.O.A
Arm Control Front Lower,$40,$48,,P.O.A
Arm Control Front Upper,$40,$48,,P.O.A
Arm Control Rear Lower,$40,$48,,P.O.A
Arm Control Rear Upper,$30,$36,,P.O.A
Arm Swing Arm IRS (Eg. Commodore Assy),$125,$150,,P.O.A
Arm Swing Arm IRS (Eg. Commodore Bare),$90,$108,,P.O.A
Axle Rear,$60,$72,,P.O.A
Axle Rear 4WD/ Commercial,$110,$132,,P.O.A
Axle Front 4WD,$85,$102,,P.O.A
B,B,B,B,B
Badge,$5,,,P.O.A
Ball Joint,$10,,,P.O.A
Battery Small 30 Day Warranty,,$30,$5,
Battery Large 30 Day Warranty,,$55,$5,
Battery Extra Large 30 Day Warranty,,$85,$5,
"Battery New Large 55o cca (40 month Warranty Suit Most Passenger Cars) Battery New Large 650 cca (40 month warranty suit some passenger,commercial and 4wd vehicles )",,$165/$195,$5,
Battery Box Plastic,$10,$12,,P.O.A
Battery Tray,$20,$24,,P.O.A
Battery Clamp/Terminal,$5,$6,,P.O.A
Battery Cable,$5,$6,,P.O.A
Bearing Thrust,$20,$24,,P.O.A
Bearing Wheel,$10,$12,,P.O.A
Bell Housing Manual G/Box,$110,$132,,P.O.A
Belt Fan,$5,$6,,P.O.A
Belt Tensioner Manual Adjust,$20,$24,,P.O.A
Belt Tensioner Alloy with Bearing (Eg. VT Commodore),$45,$54,,P.O.A
Body Cut/Section,P.O.A,P.O.A,,P.O.A
Bonnet Heat Shield Inner,$25,$30,,P.O.A
Bonnet Protector,$20,$24,,P.O.A
Bonnet Rod,$10,$12,,P.O.A
Books General,$5,,,P.O.A
Boot Release Lever w/Cable,$20,$24,,P.O.A
Bottle Radiator Overflow Small,$20,$24,,P.O.A
Bottle Radiator Overflow Large (Eg. BA Ford),$35,$42,,P.O.A
Bottle Washer Small,$15,$18,,P.O.A
Bottle Washer Large,$25,$30,,P.O.A
Brake Adjuster,$5,$6,,P.O.A
Brake Backing Plate,$30,$36,,P.O.A
Brake Backing Plate Complete w/Brake Shoes,$45,$54,,P.O.A
Brake Booster,$55,$66,,P.O.A
Brake Booster 4WD/Commercial,$80,$96,,P.O.A
Brake Caliper Single Pot,$30,$36,,P.O.A
Brake Caliper Twin Pot,$40,$48,,P.O.A
Brake Caliper 4WD/Commercial,$55,$66,,P.O.A
Brake Caliper Slide,$35,$42,,P.O.A
Brake Disc,$25,$30,,P.O.A
Brake Drum,$20,$24,,P.O.A
Brake Drum 4WD/Commercial,$35,$42,,P.O.A
Brake Proportion Valve,$20,$24,,P.O.A
Brake Lines & Hoses,$10,$12,,P.O.A
Brake Master Cylinder,$55,$66,,P.O.A
Brake Pads/Shoes,$5,,,
Brake Pedal,$20,$24,,P.O.A
Brake Pedal Pad,$5,,,P.O.A
Brake Wheel Cylinder,$5,$6,,P.O.A
Bull Bar Steel,$150 to $350,,,P.O.A
Bull Bar Alloy,$150 to $450,,,P.O.A
Bull Bar Nudge,$80,$96,,P.O.A
Bumper Bar Front Fascia,$110,$132,,P.O.A
Bumper Bar Front 4WD/Commercial,$150,$180,,P.O.A
Bumper Bar Front Reinforcement,$45,$54,,P.O.A
Bumper Bar Bracket,$20,$24,,P.O.A
Bumper Bar Stiffener,$30,$36,,P.O.A
Bumper Bar Absorber Foam or Plastic Front or Rear,$25,$30,,P.O.A
Bumper Bar Front Plastic Fascia Passenger Car,$110,$132,,P.O.A
Bumper Bar Front Plastic Fascia 4WD /Commercial,$150,$180,,P.O.A
Bumper Bar Iron,$25,$30,,P.O.A
Bumper Bar Complete Pre 1999,$110,$132,,P.O.A
Bumper Bar Centre Section Fr or Rear,$40,$48,,P.O.A
Bumper Bar End Cap Front or Rear,$45,$54,,P.O.A
Bumper Bar Rear Complete,$110,$132,,P.O.A
Bumper Bar Complete 4WD/Commercial,$150,$180,,P.O.A
Bumper Bar Reflector,$30,$36,,P.O.A
Bumper Bar Reverse Light,$30,$36,,P.O.A
Bumper Bar Rear Plastic Facia,$80,$96,,P.O.A
Bush,$5,$6,,P.O.A
By Pass Hose Small,$5,$6,,P.O.A
By Pass Hose Large,$10,$12,,P.O.A
By Pass Hose Steel,$25,$30,,P.O.A
C,C,C,C,C
Cable Accelerator,$20,$24,,P.O.A
Cable Boot Release,$20,$24,,P.O.A
Cable Bonnet,$25,$30,,P.O.A
Cable Choke,$15,$18,,P.O.A
Cable Clutch,$35,$42,,P.O.A
Cable Cruise Control,$30,$36,,P.O.A
Cable Fuel Flap Release,$15,$18,,P.O.A
Cable Gear Selector ( Each),$40,$48,,P.O.A
Cable Handbrake Front,$25,$30,,P.O.A
