year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2012,Toyota,Camry,Hybrid H,Sedan,169036.0,Automatic,2026-04-05,14990.0,Hybrid,VIC,car/14810823/toyota/camry/vic/coburg-north/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[AMBIG_BADGE],,,,,,,,toyota,camry,hybrid h,automatic,hybrid,sedan,2012,14990.0,169036.0
1999,Toyota,Camry,Csi,Sedan,180626.0,Automatic,2026-03-27,3999.0,Unleaded,VIC,car/14887683/toyota/camry/vic/maidstone/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[AMBIG_BADGE],,,,,,,,toyota,camry,csi,automatic,unleaded,sedan,1999,3999.0,180626.0
2017,Toyota,Kluger,Gx (4X2),Wagon,195030.0,Automatic,2026-04-18,22990.0,Unleaded,VIC,car/14903080/toyota/kluger/vic/west-footscray/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,kluger,gx 4x2,automatic,unleaded,wagon,2017,22990.0,195030.0
2024,Toyota,Kluger,Gx 2Wd,Wagon,20182.0,Automatic,2026-09-26,48888.0,Unleaded,VIC,car/14867243/toyota/kluger/vic/keysborough/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,kluger,gx 2wd,automatic,unleaded,wagon,2024,48888.0,20182.0
2005,Toyota,Corolla,Conquest Seca,Hatchback,284330.0,Automatic,2026-10-12,3999.0,Unleaded,VIC,car/14889753/toyota/corolla/vic/west-footscray/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[AMBIG_BADGE],,,,,,,,toyota,corolla,conquest seca,automatic,unleaded,hatchback,2005,3999.0,284330.0
2020,Toyota,Camry,Ascent Sport,Sedan,156022.0,Automatic,2026-03-20,21990.0,Unleaded,VIC,car/14882828/toyota/camry/vic/west-footscray/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[DISALLOWED_VARIANT],,,,,,,,toyota,camry,ascent sport,automatic,unleaded,sedan,2020,21990.0,156022.0
2016,Toyota,Hilux,Sr (4X4),Dual Cab Chassis,117584.0,Automatic,2026-01-31,42990.0,Diesel,VIC,car/14778433/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,sr 4x4,automatic,diesel,dual cab chassis,2016,42990.0,117584.0
2014,Toyota,RAV4,Gx (2Wd),Wagon,271343.0,Automatic,,13999.0,Unleaded,VIC,car/14765937/toyota/rav4/vic/west-footscray/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gx 2wd,automatic,unleaded,wagon,2014,13999.0,271343.0
2015,Toyota,Yaris,Ascent,Hatchback,168227.0,Manual,2025-12-30,9990.0,Unleaded,VIC,car/14819458/toyota/yaris/vic/preston/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,ascent,manual,unleaded,hatchback,2015,9990.0,168227.0
2020,Toyota,Corolla,ZWE211,SUV,79848.0,Automatic,,23990.0,Unleaded,VIC,car/14886209/toyota/corolla/vic/clayton-south/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,zwe211,automatic,unleaded,suv,2020,23990.0,79848.0
