year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2008,Jeep,Wrangler,Sport (4X4),Softtop,159000,Manual,,15499,Unleaded,VIC,car/14960547/jeep/wrangler/vic/northcote/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2004,Volvo,XC90,2.5T,Wagon,254717,Automatic,,2900,Premium,VIC,car/14968720/volvo/xc90/vic/braybrook/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Holden,UTE,SS R,Ute Tray,259582,Automatic,2026-10-18,15988,Unleaded,VIC,car/14927381/holden/ute/vic/braybrook/pickup,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Volkswagen,Touareg,V6 Tdi,Wagon,107160,Automatic,2026-02-28,18222,Diesel,VIC,car/14953000/volkswagen/touareg/vic/mordialloc/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2008,Nissan,Micra,,Hatchback,239920,Automatic,,3990,Unleaded,VIC,car/14941104/nissan/micra/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Honda,Civic,Vti-L,Sedan,97123,Automatic,2026-04-11,19990,Unleaded,VIC,car/14951950/honda/civic/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Isuzu,D-MAX,Sx (4X4),Crew Cab Chassis,117000,Automatic,2026-04-28,49990,Diesel,VIC,car/14928021/isuzu/d-max/vic/tullamarine/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Holden,Commodore,Sv6,Sedan,179000,Automatic,,5499,Unleaded,VIC,car/14975234/holden/commodore/vic/northcote/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Hyundai,Iload,Crew 6S Twin Swing,Crew Van,191000,Automatic,,13499,Diesel,VIC,car/14947206/hyundai/iload/vic/northcote/van,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Land Rover,Discovery Sport,Sd4 (177Kw) Hse 5 Seat,Wagon,150177,Automatic,2026-02-21,21990,Diesel,VIC,car/14927425/land-rover/discovery-sport/vic/williamstown-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Toyota,Corolla,Sx,Sedan,120286,Manual,2025-11-20,13989,Unleaded,VIC,car/14975694/toyota/corolla/vic/maidstone/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2002,Mazda,323,Protege Shades,Sedan,100568,Automatic,2026-07-05,4990,Unleaded,VIC,car/14968080/mazda/323/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Suzuki,Swift,Gl,Hatchback,102236,Automatic,,11990,Unleaded,VIC,car/14971856/suzuki/swift/vic/dandenong/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Mazda,3,Maxx Sport,Sedan,234000,Manual,,4999,Unleaded,VIC,car/14971008/mazda/3/vic/footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Toyota,RAV4,Cruiser (4X4),Wagon,231906,Automatic,2026-02-16,9990,Unleaded,VIC,car/14968061/toyota/rav4/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2002,Nissan,Skyline,250Gt,Sedan,222311,,2025-05-03,9990,,VIC,car/14908648/nissan/skyline/vic/moorabbin/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2003,Honda,Jazz,Vti-S,Hatchback,205192,Manual,,3999,Unleaded,VIC,car/14969897/honda/jazz/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Fiat,Ducato,,Cab Chassis,164536,Automatic,,45990,Diesel,VIC,car/14971858/fiat/ducato/vic/preston/truck,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Mitsubishi,Triton,Glx (4X4),Double Cab Chassis,169897,Automatic,2026-06-22,34990,Diesel,VIC,car/14867853/mitsubishi/triton/vic/tullamarine/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2004,Holden,Rodeo,Lt (4X4),Crew Cab Pickup,194757,Automatic,2026-11-23,6990,Unleaded,VIC,car/14968079/holden/rodeo/vic/coburg-north/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,Subaru,Forester,2.0D-L,Wagon,165000,Manual,2026-04-08,10990,Diesel,VIC,car/14966747/subaru/forester/vic/williamstown-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Toyota,C-HR,Koba (2Wd) Hybrid,Wagon,195200,Automatic,2025-12-16,21990,Hybrid,VIC,car/14929516/toyota/c-hr/vic/maidstone/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Holden,Commodore,Ss,Sedan,185000,Automatic,,34450,Premium,VIC,car/14929860/holden/commodore/vic/preston/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Toyota,Camry,Altise,Sedan,135500,Automatic,2026-01-05,13990,Unleaded,VIC,car/14953763/toyota/camry/vic/maidstone/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[AMBIG_BADGE]
2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,112434,Automatic,,114977,Diesel,VIC,car/14848631/toyota/landcruiser/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
