url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14810823/toyota/camry/vic/coburg-north/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,14990.0,2026-01-25T15:33:31,,2012,Toyota,Camry,Hybrid H,Sedan,169036,Automatic,2026-04-05,Hybrid,VIC
car/14887683/toyota/camry/vic/maidstone/sedan,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,3999.0,2026-01-25T15:33:31,2026-01-30T01:30:27,1999,Toyota,Camry,Csi,Sedan,180626.0,Automatic,2026-03-27,Unleaded,VIC
car/14903080/toyota/kluger/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,22990.0,2026-01-25T15:33:31,,2017,Toyota,Kluger,Gx (4X2),Wagon,195030,Automatic,2026-04-18,Unleaded,VIC
car/14867243/toyota/kluger/vic/keysborough/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,47970.0,2026-02-18T21:39:48,,2024,Toyota,Kluger,Gx 2Wd,Wagon,20182,Automatic,2026-09-26,Unleaded,VIC
car/14889753/toyota/corolla/vic/west-footscray/hatchback,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,3999.0,2026-01-25T15:33:31,2026-01-30T01:30:27,2005,Toyota,Corolla,Conquest Seca,Hatchback,284330.0,Automatic,2026-10-12,Unleaded,VIC
car/14882828/toyota/camry/vic/west-footscray/sedan,sold,2026-01-25T15:33:31,2026-02-24T21:06:29,21990.0,2026-01-25T15:33:31,2026-02-25T22:27:40,2020,Toyota,Camry,Ascent Sport,Sedan,156022.0,Automatic,2026-03-20,Unleaded,VIC
car/14778433/toyota/hilux/vic/tullamarine/dual-cab,active,2026-01-25T15:33:31,2026-02-27T23:28:58,42990.0,2026-01-25T15:33:31,,2016,Toyota,Hilux,Sr (4X4),Dual Cab Chassis,117584,Automatic,2026-01-31,Diesel,VIC
car/14765937/toyota/rav4/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,13999.0,2026-01-25T15:33:31,,2014,Toyota,RAV4,Gx (2Wd),Wagon,271343,Automatic,,Unleaded,VIC
car/14819458/toyota/yaris/vic/preston/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,9990.0,2026-02-17T21:58:10,,2015,Toyota,Yaris,Ascent,Hatchback,168227,Manual,2025-12-30,Unleaded,VIC
car/14886209/toyota/corolla/vic/clayton-south/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,23990.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2020,Toyota,Corolla,ZWE211,SUV,79848.0,Automatic,,Unleaded,VIC
car/14887772/toyota/rav4/vic/braybrook/suv,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,6999.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2005,Toyota,RAV4,Cruiser (4X4),Wagon,349308.0,Manual,2026-09-01,Unleaded,VIC
car/14857694/toyota/tarago/vic/coburg-north/people-mover,sold,2026-01-25T15:33:31,2026-02-15T04:41:58,7990.0,2026-01-25T15:33:31,2026-02-17T01:40:36,2011,Toyota,Tarago,Gli,Wagon,269988.0,Automatic,2026-04-01,Unleaded,VIC
car/14911829/toyota/camry/vic/ringwood/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,12990.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2011,Toyota,Camry,Touring Se,Sedan,181080.0,Automatic,2026-03-28,Unleaded,VIC
car/14867355/toyota/alphard/vic/st-kilda/suv,sold,2026-01-25T15:33:31,2026-01-30T01:30:27,46000.0,2026-01-25T15:33:31,2026-01-30T17:02:17,2021,Toyota,Alphard,(HYBRID)--S,SUV,83662.0,Automatic,,Hybrid,VIC
car/14895465/toyota/estima/vic/st-kilda/othercar,active,2026-01-25T15:33:31,2026-02-27T23:28:58,16499.0,2026-01-25T15:33:31,,2013,Toyota,Estima,AERAS,OtherCar,77200,Automatic,2025-11-06,Unleaded,VIC
car/14858354/toyota/rav4/vic/ringwood/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,19990.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2014,Toyota,RAV4,Gx (2Wd),Wagon,143249.0,Automatic,2026-02-28,Unleaded,VIC
