iter	Passed	Remaining
0	286	228771
1	357	142525
2	681	180990
3	928	184731
4	1324	210520
5	1601	211948
6	1896	214897
7	2004	198459
8	2244	197259
9	2430	191996
10	2561	183754
11	2921	191867
12	3217	194779
13	3509	197046
14	3611	189024
15	3907	191465
16	4198	193376
17	4437	192797
18	4636	190603
19	4902	191188
20	4998	185412
21	5164	182634
22	5460	184453
23	5845	188997
24	6333	196335
25	6453	192121
26	6692	191595
27	6996	192895
28	7106	188936
29	7201	184840
30	7328	181793
31	7512	180291
32	7861	182723
33	8100	182498
34	8403	183682
35	8612	182774
36	8949	184544
37	9126	183009
38	9394	183305
39	9617	182736
40	9718	179916
41	9980	180131
42	10155	178782
43	10306	177077
44	10617	178144
45	10889	178501
46	11175	179044
47	11455	179471
48	11838	181439
49	12007	180109
50	12283	180403
51	12465	179312
52	12779	180117
53	13074	180619
54	13462	182358
55	13714	182203
56	13992	182395
57	14279	182682
58	14378	180584
59	14667	180901
60	14952	181142
61	15257	181610
62	15393	180073
63	15577	179141
64	15883	179604
65	16161	179731
66	16269	177989
67	16530	177944
68	16820	178195
69	17114	178479
70	17417	178837
71	17521	177160
72	17660	175881
73	17949	176101
74	18217	176101
75	18498	176219
76	18866	177146
77	19152	177283
78	19442	177444
79	19751	177765
80	20041	177898
81	20272	177503
82	20365	175930
83	20707	176507
84	20920	175976
85	21217	176156
86	21714	177955
87	22090	178733
88	22429	179181
89	22778	179699
90	23148	180357
91	23493	180801
92	23684	180049
93	24051	180642
94	24407	181126
95	24593	180354
96	24700	179018
97	24775	177474
98	25004	177049
99	25333	177334
100	25674	177686
101	26001	177933
102	26397	178633
103	26631	178228
104	26815	177491
105	27036	177014
106	27358	177189
107	27540	176464
108	27641	175230
109	27971	175458
110	28374	176126
111	28692	176254
112	29032	176506
113	29581	178010
114	29970	178518
115	30128	177655
116	30453	177776
117	30791	177964
118	31166	178353
119	31520	178618
120	31862	178796
121	32137	178602
122	32434	178521
123	32533	177359
124	32685	176499
125	32887	175924
126	33194	175903
127	33420	175459
128	33569	174615
129	33839	174404
130	34147	174388
131	34469	174434
132	34782	174437
133	35083	174369
134	35393	174346
135	35554	173590
136	35682	172681
137	35939	172407
138	36233	172303
139	36521	172173
140	36799	171991
141	36926	171110
142	37125	170570
143	37241	169656
144	37598	169840
145	38068	170526
146	38432	170723
147	38634	170201
148	38717	169162
149	39011	169051
150	39331	169047
151	39552	168616
152	39919	168809
153	40215	168695
154	40354	167926
155	40649	167809
156	40752	166905
157	41017	166664
158	41291	166465
159	41584	166338
160	41853	166112
161	42131	165926
162	42411	165742
163	42689	165551
164	42957	165320
165	43118	164681
166	43240	163900
167	43519	163714
168	43762	163397
169	43884	162629
170	44157	162426
171	44448	162289
172	44718	162071
173	45052	162085
174	45124	161158
175	45384	160909
176	45676	160769
177	45967	160629
178	46243	160430
179	46543	160316
180	46818	160114
181	47112	159976
182	47416	159869
183	47706	159714
184	47976	159487
185	48262	159318
186	48578	159243
187	48864	159069
188	49067	158626
189	49332	158381
190	49629	158242
191	49925	158096
192	50234	157992
193	50741	158501
194	51149	158695
195	51504	158716
196	51966	159064
197	52393	159296
198	52745	159296
199	53019	159058
200	53278	158775
201	53574	158601
202	53873	158436
203	54134	158157
204	54403	157903
205	54687	157690
206	54963	157455
207	55238	157217
208	55522	157004
209	55887	157018
210	56182	156830
211	56449	156568
212	56733	156348
213	57045	156208
214	57326	155981
215	57600	155734
216	57864	155461
217	58156	155260
218	58427	155006
219	58699	154752
220	59026	154642
221	59350	154525
222	59636	154307
223	59922	154086
224	60288	154069
225	60572	153843
226	60941	153829
227	61250	153664
228	61598	153592
229	61907	153422
230	62229	153284
231	62566	153181
232	62867	152986
233	63179	152818
234	63493	152654
235	63834	152553
236	64162	152420
237	64461	152216
238	64770	152035
239	65082	151858
240	65411	151723
241	65746	151597
242	66214	151775
243	66667	151914
244	67137	152086
245	67496	152005
246	67798	151791
247	68094	151565
248	68381	151318
249	68698	151136
250	69021	150967
251	69344	150797
252	69670	150630
253	69956	150378
254	70263	150170
255	70583	149990
256	70891	149782
257	71227	149632
258	71583	149524
259	71943	149421
260	72245	149197
261	72562	149002
262	72894	148837
263	73250	148721
264	73544	148476
265	73873	148302
266	74214	148151
267	74520	147928
268	74817	147687
269	75155	147527
270	75474	147327
271	75819	147179
272	76148	146996
273	76452	146765
274	76874	146759
275	77204	146577
276	77529	146382
277	77823	146129
278	78161	145956
279	78475	145739
280	78792	145528
281	79112	145320
282	79431	145109
283	79767	144930
284	80070	144689
285	80367	144435
286	80727	144296
287	81055	144099
288	81376	143886
289	81719	143714
290	82120	143639
291	82580	143667
292	83102	143798
293	83577	143844
294	83891	143610
295	84216	143396
296	84516	143136
297	84801	142853
298	85103	142597
299	85397	142328
300	85678	142038
301	85945	141724
302	86246	141467
303	86526	141174
304	86829	140920
305	87115	140636
306	87483	140487
307	87776	140214
308	88059	139926
309	88359	139664
310	88634	139364
311	88916	139074
312	89203	138791
313	89491	138512
314	89787	138243
315	90068	137953
316	90336	137642
317	90643	137390
318	90924	137099
319	91214	136821
320	91505	136545
321	91808	136287
322	92082	135984
323	92375	135711
324	92788	135614
325	93106	135375
326	93384	135079
327	93691	134824
328	93963	134518
329	94259	134248
330	94555	133977
331	94865	133725
332	95201	133510
333	95542	133301
334	95835	133025
335	96151	132780
336	96514	132599
337	96920	132476
338	97406	132461
339	97714	132201
340	98128	132084
341	98472	131871
342	98799	131637
343	99118	131389
344	99421	131120
345	99709	130832
346	100003	130551
347	100296	130269
348	100596	129997
349	100907	129738
350	101196	129451
351	101519	129206
352	101819	128932
353	102099	128634
354	102365	128317
355	102690	128074
356	103006	127820
357	103363	127616
358	103666	127344
359	103953	127053
360	104241	126765
361	104548	126498
362	104862	126239
363	105178	125983
364	105474	125702
365	105818	125478
366	106147	125236
367	106485	125004
368	106857	124811
369	107209	124594
370	107496	124301
371	107806	124035
372	108132	123787
373	108489	123573
374	108769	123272
375	109064	122987
376	109345	122687
377	109634	122396
378	109963	122149
379	110285	121893
380	110585	121615
381	110892	121342
382	111278	121157
383	111743	121055
384	112072	120805
385	112381	120533
386	112656	120225
387	112935	119920
388	113219	119622
389	113555	119378
390	113938	119183
391	114271	118935
392	114622	118705
393	115020	118523
394	115366	118286
395	115739	118077
396	116075	117830
397	116431	117601
398	116798	117384
399	117197	117197
400	117561	116975
401	117929	116755
402	118311	116550
403	118663	116313
404	119089	116148
405	119465	115934
406	119785	115665
407	120144	115433
408	120489	115187
409	120831	114937
410	121237	114748
411	121653	114567
412	122006	114326
413	122368	114092
414	122711	113841
415	123036	113572
416	123387	113327
417	123727	113071
418	124091	112837
419	124513	112654
420	124852	112396
421	125173	112122
422	125509	111860
423	125935	111678
424	126257	111403
425	126596	111143
426	126976	110918
427	127518	110834
428	127841	110557
429	128162	110279
430	128444	109967
431	128789	109709
432	129106	109427
433	129480	109193
434	129792	108906
435	130073	108593
436	130391	108311
437	130687	108010
438	130992	107718
439	131310	107435
440	131617	107144
441	131902	106834
442	132193	106530
443	132476	106220
444	132791	105934
445	133115	105656
446	133412	105356
447	133729	105073
448	134004	104755
449	134329	104478
450	134644	104192
451	135027	103959
452	135336	103668
453	135650	103381
454	135942	103077
455	136208	102754
456	136477	102432
457	136822	102168
458	137114	101864
459	137395	101553
460	137708	101265
461	138008	100967
462	138292	100657
463	138610	100373
464	138974	100121
465	139486	99975
466	139828	99706
467	140231	99480
468	140511	99167
469	140819	98872
470	141097	98558
471	141405	98264
472	141671	97942
473	141965	97639
474	142250	97329
475	142554	97033
476	142830	96717
477	143096	96395
478	143386	96090
479	143674	95783
480	143954	95470
481	144230	95156
482	144574	94886
483	144878	94590
484	145224	94321
485	145530	94026
486	145846	93736
487	146185	93462
488	146519	93185
489	146877	92922
490	147229	92655
491	147546	92366
492	147902	92101
493	148269	91843
494	148569	91542
495	148977	91308
496	149322	91035
497	149636	90743
498	149960	90457
499	150294	90176
500	150669	89920
501	150996	89635
502	151376	89381
503	151770	89134
504	152134	88870
505	152508	88611
506	152886	88354
507	153439	88197
508	153804	87931
509	154149	87653
510	154491	87373
511	154818	87085
512	155168	86809
513	155499	86523
514	155929	86291
515	156261	86004
516	156637	85741
517	156962	85450
518	157311	85172
519	157660	84894
520	157969	84594
521	158258	84283
522	158585	83992
523	158913	83702
524	159254	83419
525	159621	83148
526	159951	82859
527	160261	82559
528	160590	82268
529	160924	81980
530	161278	81702
531	161595	81405
532	161937	81120
533	162260	80826
534	162572	80526
535	162898	80233
536	163234	79945
537	163525	79635
538	163863	79347
539	164193	79056
540	164524	78764
541	164845	78468
542	165181	78179
543	165511	77887
544	165871	77609
545	166240	77335
546	166716	77110
547	167145	76862
548	167662	76654
549	168144	76429
550	168517	76154
551	168884	75875
552	169237	75590
553	169566	75295
554	169906	75003
555	170250	74714
556	170607	74430
557	170929	74130
558	171252	73831
559	171698	73585
560	172068	73305
561	172382	73001
562	172703	72700
563	173062	72416
564	173379	72113
565	174036	71951
566	174405	71669
567	174744	71374
568	175078	71077
569	175400	70775
570	175736	70479
571	176088	70189
572	176385	69876
573	176655	69554
574	177018	69267
575	177349	68969
576	177643	68655
577	177941	68344
578	178222	68026
579	178523	67715
580	178813	67401
581	179122	67094
582	179416	66780
583	179706	66466
584	179999	66153
585	180283	65837
586	180558	65517
587	180864	65209
588	181248	64929
589	181700	64672
590	182222	64440
591	182534	64133
592	182823	63818
593	183147	63515
594	183453	63206
595	183734	62888
596	184060	62586
597	184342	62269
598	184645	61959
599	184955	61651
600	185245	61337
601	185541	61025
602	185862	60721
603	186180	60416
604	186450	60095
605	186712	59772
606	187002	59458
607	187306	59149
608	187668	58858
609	187972	58548
