canonical_tag,make,model,body,fuel,transmission,badge,drivetrain,year_min,year_max,allowed_badge_aliases,allowed_body_aliases,excluded_keywords
toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,toyota,camry,sedan,petrol,auto,ascent,fwd,2018,2023,ascent,sedan|saloon,hybrid|ascent sport|sx|sl|atara|gr
toyota_camry_sedan_petrol_auto_ascent_sport_fwd_2018_2023,toyota,camry,sedan,petrol,auto,ascent sport,fwd,2018,2023,ascent sport,sedan|saloon,hybrid|sl|atara|gr
toyota_camry_sedan_hybrid_auto_ascent_fwd_2018_2023,toyota,camry,sedan,hybrid,auto,ascent,fwd,2018,2023,ascent,sedan|saloon,ascent sport|sx|sl|atara|gr
toyota_camry_sedan_hybrid_auto_ascent_sport_fwd_2018_2023,toyota,camry,sedan,hybrid,auto,ascent sport,fwd,2018,2023,ascent sport,sedan|saloon,sl|atara|gr
toyota_camry_sedan_petrol_auto_sx_fwd_2.5i_2018_2023,toyota,camry,sedan,petrol,auto,sx,fwd,2018,2023,sx|sx 2.5i,sedan|saloon,hybrid|ascent|ascent sport|sl|atara|gr
toyota_corolla_hatch_petrol_auto_ascent_fwd_2013_2015,toyota,corolla,hatch,petrol,auto,ascent,fwd,2013,2015,ascent,hatch|hatchback,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2013_2015,toyota,corolla,hatch,petrol,auto,ascent sport,fwd,2013,2015,ascent sport|sx,hatch|hatchback,hybrid|zr|levin|gr
toyota_corolla_hatch_petrol_auto_ascent_fwd_2016_2018,toyota,corolla,hatch,petrol,auto,ascent,fwd,2016,2018,ascent,hatch|hatchback,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2016_2018,toyota,corolla,hatch,petrol,auto,ascent sport,fwd,2016,2018,ascent sport|sx,hatch|hatchback,hybrid|zr|levin|gr
toyota_corolla_hatch_petrol_auto_ascent_fwd_2019_2023,toyota,corolla,hatch,petrol,auto,ascent,fwd,2019,2023,ascent,hatch|hatchback,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2019_2023,toyota,corolla,hatch,petrol,auto,ascent sport,fwd,2019,2023,ascent sport|sx,hatch|hatchback,hybrid|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_fwd_2013_2015,toyota,corolla,sedan,petrol,auto,ascent,fwd,2013,2015,ascent,sedan|saloon,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_sport_fwd_2013_2015,toyota,corolla,sedan,petrol,auto,ascent sport,fwd,2013,2015,ascent sport|sx,sedan|saloon,hybrid|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_fwd_2016_2018,toyota,corolla,sedan,petrol,auto,ascent,fwd,2016,2018,ascent,sedan|saloon,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_sport_fwd_2016_2018,toyota,corolla,sedan,petrol,auto,ascent sport,fwd,2016,2018,ascent sport|sx,sedan|saloon,hybrid|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_fwd_2019_2023,toyota,corolla,sedan,petrol,auto,ascent,fwd,2019,2023,ascent,sedan|saloon,hybrid|ascent sport|sx|zr|levin|gr
toyota_corolla_sedan_petrol_auto_ascent_sport_fwd_2019_2023,toyota,corolla,sedan,petrol,auto,ascent sport,fwd,2019,2023,ascent sport|sx,sedan|saloon,hybrid|zr|levin|gr
toyota_corolla_hatch_petrol_auto_zr_fwd_2018_2023,toyota,corolla,hatch,petrol,auto,zr,fwd,2018,2023,zr,hatch|hatchback,hybrid|ascent|ascent sport|sx|levin|gr
toyota_corolla_sedan_petrol_auto_zr_fwd_2018_2023,toyota,corolla,sedan,petrol,auto,zr,fwd,2018,2023,zr,sedan|saloon,hybrid|ascent|ascent sport|sx|levin|gr
toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2005_2014,toyota,hilux,dualcab_ute,diesel,auto,sr,4x4,2005,2014,sr,dual cab|double cab|dualcab|ute,sr5|workmate|4x2|2wd|hi-rider|hi rider|cab chassis|single cab|extra cab|space cab
toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2015_2023,toyota,hilux,dualcab_ute,diesel,auto,sr,4x4,2015,2023,sr,dual cab|double cab|dualcab|ute,sr5|workmate|4x2|2wd|hi-rider|hi rider|cab chassis|single cab|extra cab|space cab
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4_2005_2014,toyota,hilux,dualcab_ute,diesel,auto,sr5,4x4,2005,2014,sr5,dual cab|double cab|dualcab|ute,4x2|2wd|hi-rider|hi rider|cab chassis|single cab|extra cab|space cab|workmate
