url,vin,year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,price
https://www.grays.com/lot/0001-50514157/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020400H92024,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,161056,8860
https://www.grays.com/lot/0001-21053119/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020500C06298,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,267768,7600
https://www.grays.com/lot/0001-21051415/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020900C06238,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,164973,12400
https://www.grays.com/lot/0001-21049867/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020900C06448,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,155823,14000
https://www.grays.com/lot/0001-21052399/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020900H92231,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,120932,14500
https://www.grays.com/lot/0001-21054375/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-7-seats-wagon,WBAKS020X00H91749,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,130983,13800
https://www.grays.com/lot/0001-21058215/motor-vehicles-motor-cycles/2014-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-7-seats-wagon,WBAKS020X00H92304,2014,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,155368,13900
https://www.grays.com/lot/0001-9066433/motor-vehicles-motor-cycles/2015-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKS020000H93073,2015,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,163993,15100
https://www.grays.com/lot/0001-9063129/motor-vehicles-motor-cycles/2016-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKT420400M47173,2016,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,178215,13800
https://www.grays.com/lot/0001-9064594/motor-vehicles-motor-cycles/2016-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKT420400M47318,2016,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,164851,19700
https://www.grays.com/lot/0001-10601075/motor-vehicles-motor-cycles/2017-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-7-seats-wagon,WBAKT420X00W35440,2017,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,111317,21050
https://www.grays.com/lot/0001-10351706/motor-vehicles-motor-cycles/2017-bmw-x5-sdrive-25d-f15-turbo-diesel-automatic-8-speed-wagon,WBAKT420X00W35776,2017,bmw,x5,sdrive 25d f15,wagon,automatic,diesel,130070,19400
https://www.grays.com/lot/0001-21054430/motor-vehicles-motor-cycles/2011-nissan-micra-st-k13-automatic-hatchback,MNTFBUK13A0002180,2011,nissan,micra,st k13,hatchback,automatic,petrol,198969,2009
https://www.grays.com/lot/0001-21049460/motor-vehicles-motor-cycles/2011-nissan-micra-st-k13-automatic-hatchback,MNTFBUK13A0002513,2011,nissan,micra,st k13,hatchback,automatic,petrol,184944,2809
https://www.grays.com/lot/0001-21045626/motor-vehicles-motor-cycles/2012-nissan-micra-st-k13-automatic-hatchback,MHBFBUK13A0000624,2012,nissan,micra,st k13,hatchback,automatic,petrol,159011,4509
https://www.grays.com/lot/0001-21050059/motor-vehicles-motor-cycles/2012-nissan-micra-st-k13-automatic-hatchback,MHBFBUK13A0001708,2012,nissan,micra,st k13,hatchback,automatic,petrol,107773,4100
https://www.grays.com/lot/0001-10911595/motor-vehicles-motor-cycles/2012-nissan-micra-st-k13-automatic-hatchback,MHBFBUK13A0001836,2012,nissan,micra,st k13,hatchback,automatic,petrol,209160,1500
https://www.grays.com/lot/0001-21057773/motor-vehicles-motor-cycles/2013-nissan-micra-st-k13-automatic-hatchback,MDHFBUK13A0000845,2013,nissan,micra,st k13,hatchback,automatic,petrol,122224,2909
https://www.grays.com/lot/0001-21061815/motor-vehicles-motor-cycles/2014-nissan-micra-st-k13-automatic-hatchback,MDHFBUK13A0005081,2014,nissan,micra,st k13,hatchback,automatic,petrol,176323,3604
https://www.grays.com/lot/0001-50515471/motor-vehicles-motor-cycles/2015-nissan-micra-st-k13-automatic-hatchback,MDHFBUK13A0501468,2015,nissan,micra,st k13,hatchback,automatic,petrol,136813,5500
