canonical_tag,observed_rows,static_rows,group_map_rows,sources,curve_rows,anchor_year_count,anchor_years,has_curve,status
hyundai_i30_active_petrol_auto_hatch_gd,47,2,45,"active, sold, static",15,3,"2012, 2014, 2016",True,covered
toyota_corolla_ascent_petrol_auto_sedan_zre152r,47,1,46,"active, sold, static",15,3,"2009, 2011, 2013",True,covered
toyota_yaris_yr_petrol_auto_hatch_ncp90r,27,1,26,"active, sold, static",15,3,"2008, 2010, 2011",True,covered
hyundai_i30_active_petrol_auto_hatch_pd,24,1,23,"active, sold, static",15,3,"2017, 2019, 2022",True,covered
mazda_3_neo_petrol_auto_hatch_bl,15,0,15,sold,15,3,"2009, 2011, 2013",True,covered
toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x,10,0,10,sold,15,3,"2014, 2016, 2018",True,covered
mazda_3_maxx-sport_petrol_auto_hatch_bl,9,1,8,"active, sold, static",15,3,"2009, 2011, 2013",True,covered
toyota_corolla_ascent_petrol_auto_hatch_zre18x,6,0,6,sold,15,3,"2013, 2015, 2018",True,covered
toyota_corolla_ascent_petrol_auto_sedan_zre172r,4,0,4,sold,15,3,"2015, 2017, 2019",True,covered
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,3,0,3,sold,15,3,"2020, 2021, 2022",True,covered
mazda_3_maxx_petrol_auto_hatch_bl,2,0,2,sold,15,3,"2009, 2011, 2013",True,covered
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,2,0,2,sold,20,4,"2018, 2020, 2022, 2024",True,covered
toyota_camry_ascent_petrol_auto_sedan_asv70r,1,0,1,sold,15,3,"2018, 2020, 2022",True,covered
hyundai_i30_gd_hatch_auto_petrol,0,0,0,,15,3,"2012, 2014, 2016",True,covered
hyundai_i30_pd_hatch_auto_petrol,0,0,0,,15,3,"2017, 2019, 2022",True,covered
mazda_3_2.0_petrol_auto_hatch_bl,0,0,0,,15,3,"2009, 2011, 2013",True,covered
mazda_3_bl_hatch_auto_petrol,0,0,0,,15,3,"2009, 2011, 2013",True,covered
mazda_3_neo-sport_petrol_auto_hatch_bl,0,0,0,,15,3,"2009, 2011, 2013",True,covered
mazda_3_touring_petrol_auto_hatch_bl,0,0,0,,15,3,"2009, 2011, 2013",True,covered
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe219r,0,0,0,,10,2,"2024, 2025",True,covered
toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r,0,0,0,,15,3,"2019, 2021, 2024",True,covered
toyota_corolla_ascent-sport_zre182r_hatch_auto_petrol,0,0,0,,15,3,"2014, 2016, 2018",True,covered
toyota_corolla_ascent_zre182r_hatch_auto_petrol,0,0,0,,15,3,"2013, 2015, 2018",True,covered
toyota_yaris_ncp90r_hatch_auto_petrol,0,0,0,,15,3,"2008, 2010, 2011",True,covered
